SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
1224	6	-5	48.01	39.55	2	5	2	5	2	2.2	5
1224	7	-6	48.02	39.31	2	5	2	5	2	2.2	5
1225	-3	2	61.4	71.63	-999	-999	-999	-999	-999	-999	-999
1225	-2	4	68.21	66.04	-999	-999	-999	-999	-999	-999	-999
1225	-1	6	58.32	66.08	-999	-999	-999	-999	-999	-999	-999
1225	0	0	58.94	67.29	2	5	-999	-999	2	2.2	0
1225	1	-1	74.3	69.1	1.1	1	-999	-999	2	1.1	1
1225	2	-2	62.11	66.04	4	8.1	4	8.1	2	2.1	2
1225	3	3	60.49	76.11	4	9.1	4	9.1	3.2	12	3
1225	4	-3	58.52	66.28	2	5	2	5	2	2.2	4
1225	5	-4	58.52	66.28	2	5	-999	-999	2	2.2	5
1225	6	-5	58.32	69.1	2	5	2	5	2	2.2	5
1225	7	-6	58.25	69.01	2	5	2	5	2	2.2	5
1226	-3	2	67	66.7	-999	-999	-999	-999	-999	-999	-999
1226	-2	4	75.3	60.7	-999	-999	-999	-999	-999	-999	-999
1226	-1	6	75.3	60.7	-999	-999	-999	-999	-999	-999	-999
1226	0	0	73.2	61.4	2	5	-999	-999	2	2.2	0
1226	1	-1	75.3	60.7	1.1	1	-999	-999	2	1.1	1
1226	2	-2	75.3	60.7	4	8.1	4	8.1	2	2.1	2
1226	3	3	53.8	76.4	4	9.1	4	9.1	3.2	12	3
1226	4	-3	75.3	60.7	2	5	2	5	2	2.2	4
1226	5	-4	75.3	60.7	2	5	-999	-999	2	2.2	5
1226	6	-5	75.3	60.7	2	5	2	5	2	2.2	5
1226	7	-6	75.3	60.7	2	5	2	5	2	2.2	5
1231	-3	2	66.65	71.41	-999	-999	-999	-999	-999	-999	-999
1231	-2	4	70.38	71.1	-999	-999	-999	-999	-999	-999	-999
1231	-1	6	67.51	71.11	-999	-999	-999	-999	-999	-999	-999
1231	0	0	67.24	71.17	1.1	2	-999	-999	2	1.2	0
1231	1	-1	73.33	66.35	1.1	1	-999	-999	2	1.1	1
1231	2	-2	67.36	71.1	4	8.1	4	8.1	2	2.1	2
1231	3	3	65.82	71.34	4	9.1	4	9.1	3.2	12	3
1231	4	-3	67.47	71.46	1.1	2	1.1	2	2	1.2	4
1231	5	-4	67.47	71.46	2	5	-999	-999	2	2.2	5
1231	6	-5	67.38	71.12	2	5	1.1	2	2	2.2	5
1231	7	-6	67.38	71.08	2	5	1.1	2	2	2.2	5
1232	-3	2	57.53	56.64	-999	-999	-999	-999	-999	-999	-999
1232	-2	4	61.1	57.77	-999	-999	-999	-999	-999	-999	-999
1232	-1	6	57.32	56.63	-999	-999	-999	-999	-999	-999	-999
1232	0	0	57.5	56.3	4	8.1	-999	-999	2	2.1	0
1232	1	-1	61.81	54.88	1.1	1	-999	-999	2	1.1	1
1232	2	-2	60.38	57.77	4	8.1	4	8.1	2	2.1	2
1232	3	3	51.4	52.85	4	9.1	4	9.1	3.2	12	3
1232	4	-3	57.41	56.63	2	5	2	5	2	2.2	4
1232	5	-4	57.41	56.63	2	5	-999	-999	2	2.2	5
