cno94	stdempst	spempst	mcamsis	fcamsis
501	4	1	47.4	52.6
501	5	3	42.5	52.6
501	6	4	42.5	41.6
502	0	0	41.05	43.74
502	1	-1	45.39	44.26
502	2	-2	47.4	45.85
502	3	2	47.4	43.6
502	4	1	47.4	52.6
502	5	3	40.7	43.6
502	6	4	40.2	43.6
503	0	0	44.98	46.63
503	1	-1	45.9	45.25
503	2	-2	45.9	44.7
503	3	2	47.4	43.6
503	4	1	44.9	46.9
503	5	3	44.9	46.9
503	6	4	44.9	46.9
511	0	0	51.98	53.1
511	1	-1	51.5	53.54
511	2	-2	51.5	55.3
511	3	2	51.5	53.1
511	4	1	52	55.3
511	5	3	52	53.1
511	6	4	52	53.1
512	0	0	55.22	44.86
512	1	-1	51.5	50.26
512	2	-2	51.5	50.57
512	3	2	51.5	49
512	4	1	55.4	55.3
512	5	3	55.4	49
512	6	4	55.4	44.8
513	0	0	52.1	50.7
513	1	-1	51.5	50.85
513	2	-2	51.5	50.86
513	3	2	51.5	49
513	4	1	51.5	55.3
513	5	3	51.5	49
513	6	4	55.4	50.5
514	0	0	53.58	61.65
514	1	-1	51.5	49
514	2	-2	51.5	49
514	3	2	51.5	49
514	4	1	53.5	62.2
514	5	3	53.5	62.2
514	6	4	54	62.2
515	0	0	54	57.9
515	1	-1	52.83	51.53
515	2	-2	52.5	52.15
515	3	2	51.5	49
515	4	1	53.5	55.3
515	5	3	53.5	50.3
515	6	4	54	57.9
519	0	0	53.41	57.43
519	1	-1	51.5	53.45
519	2	-2	51.5	49
519	3	2	51.5	49
519	4	1	51.5	57.9
519	5	3	54	57.9
519	6	4	54	57.9
521	0	0	46.9	53.1
521	1	-1	46.9	53.1
521	2	-2	46.9	53.1
521	3	2	46.9	53.1
521	4	1	46.9	53.1
521	5	3	46.9	53.1
521	6	4	46.9	53.1
522	0	0	50.3	53.1
522	1	-1	50.3	53.1
522	2	-2	50.3	53.1
522	3	2	50.3	53.1
522	4	1	50.3	53.1
522	5	3	50.3	53.1
522	6	4	50.3	53.1
523	0	0	49.5	53.1
523	1	-1	49.5	53.1
523	2	-2	49.5	53.1
523	3	2	49.5	53.1
523	4	1	49.5	53.1
523	5	3	49.5	53.1
523	6	4	49.5	53.1
524	0	0	65.7	53.1
524	1	-1	65.7	53.1
524	2	-2	65.7	53.1
524	3	2	65.7	53.1
524	4	1	65.7	53.1
524	5	3	65.7	53.1
524	6	4	65.7	53.1
525	0	0	43.8	53.1
525	1	-1	43.8	53.1
525	2	-2	43.8	53.1
525	3	2	43.8	53.1
525	4	1	43.8	53.1
525	5	3	43.8	53.1
525	6	4	43.8	53.1
529	0	0	36.8	53.1
529	1	-1	51.5	53.1
529	2	-2	51.5	53.1
529	3	2	51.5	53.1
529	4	1	36.4	53.1
529	5	3	36.4	53.1
529	6	4	36.4	53.1
531	0	0	52.6	52.2
531	1	-1	51.5	51.9
531	2	-2	51.5	51.9
531	3	2	51.5	51.9
531	4	1	51.5	50.3
531	5	3	48.6	55.5
531	6	4	54.8	52.6
532	0	0	54.66	52.62
532	1	-1	51.87	52.92
