ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
753	6	41.05	38.56	-999	-999
800	0	41.3	36.51	-999	-999
800	1	64.86	53.87	-999	-999
800	6	39.44	35.87	-999	-999
810	0	38.21	37.26	-999	-999
810	1	69.28	58.6	-999	-999
810	6	37.31	36.81	-999	-999
811	0	36.44	36.16	-999	-999
811	1	69.28	36.16	-999	-999
811	6	35.53	36.16	-999	-999
812	0	34.81	36.16	-999	-999
812	1	69.28	36.16	-999	-999
812	6	34.12	36.16	-999	-999
813	0	44.51	42.42	-999	-999
813	1	69.28	58.6	-999	-999
813	6	40.53	41.5	-999	-999
814	0	39.03	36.16	-999	-999
814	1	39.03	36.16	-999	-999
814	6	39.03	36.16	-999	-999
815	0	38.68	32.79	-999	-999
815	1	38.68	32.79	-999	-999
815	6	38.68	32.79	-999	-999
816	0	37.95	36.16	-999	-999
816	1	69.28	36.16	-999	-999
816	6	37.42	36.16	-999	-999
817	0	38.21	37.26	-999	-999
817	1	69.28	58.6	-999	-999
817	6	37.31	36.81	-999	-999
820	0	41.83	36.2	-999	-999
820	1	68.67	57.76	-999	-999
820	6	38.37	35.56	-999	-999
821	0	38.21	37.65	-999	-999
821	1	69.28	37.65	-999	-999
821	6	37.87	37.65	-999	-999
822	0	33.73	31.68	-999	-999
822	1	33.73	31.68	-999	-999
822	6	33.73	31.68	-999	-999
823	0	33.65	31.68	-999	-999
823	1	69.28	31.68	-999	-999
823	6	32.52	31.68	-999	-999
824	0	33.1	33.92	-999	-999
824	1	33.1	58.6	-999	-999
824	6	33.1	31.68	-999	-999
825	0	41.62	38.13	-999	-999
825	1	69.28	38.13	-999	-999
825	6	37.81	38.13	-999	-999
826	0	37.91	35.82	-999	-999
826	1	69.28	57.42	-999	-999
826	6	33.89	35.06	-999	-999
827	0	47.49	39.67	-999	-999
827	1	68.29	58.6	-999	-999
827	6	39.97	38.78	-999	-999
828	0	46.02	35.96	-999	-999
828	1	70.86	58.6	-999	-999
828	6	45.24	35.61	-999	-999
829	0	37.04	35.61	-999	-999
829	1	37.04	35.61	-999	-999
829	6	37.04	35.61	-999	-999
830	0	42	40.62	-999	-999
830	1	58.41	40.62	-999	-999
830	6	40.99	40.62	-999	-999
831	0	52.29	40.62	-999	-999
831	1	52.29	40.62	-999	-999
831	6	52.29	40.62	-999	-999
832	0	52.29	40.62	-999	-999
832	1	52.29	40.62	-999	-999
832	6	52.29	40.62	-999	-999
833	0	41.59	40.62	-999	-999
833	1	58.41	40.62	-999	-999
833	6	40.51	40.62	-999	-999
834	0	40.51	40.62	-999	-999
834	1	40.51	40.62	-999	-999
834	6	40.51	40.62	-999	-999
840	0	41.3	36.51	-999	-999
840	1	64.86	53.87	-999	-999
840	6	39.44	35.87	-999	-999
900	0	37.16	38.01	-999	-999
900	1	45.26	49.31	-999	-999
900	6	37.03	37.88	-999	-999
910	0	42.67	37.49	-999	-999
910	1	49.04	52.67	-999	-999
910	6	42.41	37.35	-999	-999
911	0	42.67	37.49	-999	-999
911	1	49.04	52.67	-999	-999
911	6	42.41	37.35	-999	-999
912	0	42.67	37.49	-999	-999
912	1	49.04	52.67	-999	-999
912	6	42.41	37.35	-999	-999
913	0	38.94	36.28	-999	-999
913	1	49.04	52.67	-999	-999
913	6	38.57	35.95	-999	-999
914	0	44.72	37.74	-999	-999
914	1	49.04	52.67	-999	-999
914	6	44.54	37.65	-999	-999
915	0	42.23	50.46	-999	-999
915	1	49.04	50.46	-999	-999
915	6	41.97	50.46	-999	-999
916	0	42.67	37.49	-999	-999
916	1	49.04	52.67	-999	-999
916	6	42.41	37.35	-999	-999
920	0	37.71	38.28	-999	-999
920	1	37.71	38.28	-999	-999
920	6	37.71	38.28	-999	-999
921	0	37.71	38.28	-999	-999
921	1	37.71	38.28	-999	-999
921	6	37.71	38.28	-999	-999
930	0	31.72	38.43	-999	-999
930	1	31.72	38.43	-999	-999
930	6	31.72	38.43	-999	-999
931	0	31.12	38.43	-999	-999
931	1	31.12	38.43	-999	-999
931	6	31.12	38.43	-999	-999
932	0	37.36	39.65	-999	-999
932	1	49.04	58.6	-999	-999
932	6	37.33	39.58	-999	-999
933	0	40.81	41.99	-999	-999
933	1	49.04	58.6	-999	-999
933	6	40.7	38.43	-999	-999
1000	0	64.58	54.84	55	51
1000	1	56.27	48.61	55	51
1000	6	72.12	64.33	55	51
1100	0	85.02	93.82	70	67
1100	1	56.27	48.61	70	67
1100	6	85.02	93.82	70	67
1110	0	85.02	93.82	77	64
1110	1	85.02	93.82	77	64
1110	6	85.02	93.82	77	64
1120	0	85.02	93.82	77	71
1120	1	56.27	48.61	77	71
1120	6	85.02	93.82	77	71
1130	0	85.02	93.82	66	63
1130	1	56.27	48.61	66	63
1130	6	85.02	93.82	66	63
1140	0	85.02	93.82	58	63
1140	1	56.27	48.61	58	63
1140	6	85.02	93.82	58	63
1141	0	85.02	93.82	58	63
1141	1	56.27	48.61	58	63
1141	6	85.02	93.82	58	63
1142	0	85.02	93.82	58	63
1142	1	56.27	48.61	58	63
1142	6	85.02	93.82	58	63
1143	0	85.02	93.82	58	63
1143	1	56.27	48.61	58	63
1143	6	85.02	93.82	58	63
1200	0	64.58	54.84	68	60
1200	1	56.27	48.61	68	60
1200	6	72.12	64.33	68	60
1210	0	64.58	54.84	70	70
1210	1	56.27	48.61	70	70
1210	6	72.12	64.33	70	70
1220	0	64.58	54.84	67	63
1220	1	56.27	48.61	67	63
1220	6	72.12	64.33	67	63
1221	0	64.58	54.84	67	60
1221	1	56.27	48.61	67	60
1221	6	72.12	64.33	67	60
1222	0	64.58	54.84	67	60
1222	1	56.27	48.61	67	60
1222	6	72.12	64.33	67	60
1223	0	64.58	54.84	67	60
1223	1	56.27	48.61	67	60
1223	6	72.12	64.33	67	60
1224	0	64.58	54.84	59	60
1224	1	56.27	48.61	59	60
1224	6	72.12	64.33	59	60
1225	0	64.58	54.84	59	60
1225	1	56.27	48.61	59	60
1225	6	72.12	64.33	59	60
1226	0	64.58	54.84	59	60
1226	1	56.27	48.61	59	60
1226	6	72.12	64.33	59	60
1227	0	64.58	54.84	87	60
1227	1	56.27	48.61	87	60
1227	6	72.12	64.33	87	60
1228	0	64.58	54.84	59	60
1228	1	56.27	48.61	59	60
1228	6	72.12	64.33	59	60
1229	0	64.58	54.84	67	60
1229	1	56.27	48.61	67	60
1229	6	72.12	64.33	67	60
1230	0	64.58	54.84	61	60
1230	1	56.27	48.61	61	60
1230	6	72.12	64.33	61	60
1231	0	64.58	54.84	69	60
1231	1	56.27	48.61	69	60
1231	6	72.12	64.33	69	60
1232	0	64.58	54.84	69	60
1232	1	56.27	48.61	69	60
1232	6	72.12	64.33	69	60
1233	0	64.58	54.84	56	60
1233	1	56.27	48.61	56	60
1233	6	72.12	64.33	56	60
1234	0	64.58	54.84	69	60
1234	1	56.27	48.61	69	60
1234	6	72.12	64.33	69	60
1235	0	64.58	54.84	69	60
1235	1	56.27	48.61	69	60
1235	6	72.12	64.33	69	60
1236	0	64.58	54.84	69	60
1236	1	56.27	48.61	69	60
1236	6	72.12	64.33	69	60
1237	0	64.58	54.84	69	60
1237	1	56.27	48.61	69	60
1237	6	72.12	64.33	69	60
1239	0	64.58	54.84	69	60
1239	1	56.27	48.61	69	60
1239	6	72.12	64.33	69	60
1240	0	64.58	54.84	58	55
1240	1	56.27	48.61	58	55
1240	6	72.12	64.33	58	55
1250	0	64.58	54.84	64	65
1250	1	56.27	48.61	64	65
1250	6	72.12	64.33	64	65
1251	0	64.58	54.84	70	73
1251	1	56.27	48.61	70	73
1251	6	72.12	64.33	70	73
1252	0	64.58	54.84	60	63
1252	1	56.27	48.61	60	63
1252	6	72.12	64.33	60	63
1300	0	64.36	54.68	51	50
1300	1	56.27	48.61	51	50
1300	6	71.85	64.01	51	50
1310	0	76.32	72.3	51	50
1310	1	81.71	67.21	51	50
1310	6	74.11	74.68	51	50
1311	0	64.36	54.68	43	47
1311	1	56.27	48.61	43	47
1311	6	71.85	64.01	43	47
1312	0	64.36	54.68	56	52
1312	1	56.27	48.61	56	52
1312	6	71.85	64.01	56	52
1313	0	64.36	54.68	51	52
1313	1	56.27	48.61	51	52
1313	6	71.85	64.01	51	52
1314	0	64.36	54.68	49	46
1314	1	56.27	48.61	49	46
1314	6	71.85	64.01	49	46
1315	0	41.8	49.95	44	38
1315	1	39.59	46.3	44	38
1315	6	53.22	57.85	44	38
1316	0	64.36	54.68	51	52
1316	1	56.27	48.61	51	52
1316	6	71.85	64.01	51	52
1317	0	64.36	54.68	51	52
1317	1	56.27	48.61	51	52
1317	6	71.85	64.01	51	52
1318	0	64.36	54.68	51	52
1318	1	56.27	48.61	51	52
1318	6	71.85	64.01	51	52
1319	0	77.91	54.68	51	52
1319	1	81.71	48.61	51	52
1319	6	74.11	64.01	51	52
2000	0	86.55	74.49	70	62
2000	1	94.3	99	70	62
2000	6	83.69	73.17	70	62
2100	0	88.55	99	69	63
2100	1	88.55	99	69	63
2100	6	88.55	99	69	63
2110	0	88.55	99	74	69
2110	1	88.55	99	74	69
2110	6	88.55	99	74	69
2111	0	88.55	99	74	75
2111	1	88.55	99	74	75
2111	6	88.55	99	74	75
2112	0	88.55	99	74	72
2112	1	88.55	99	74	72
2112	6	88.55	99	74	72
2113	0	88.55	99	74	69
2113	1	88.55	99	74	69
2113	6	88.55	99	74	69
2114	0	88.55	99	74	67
2114	1	88.55	99	74	67
2114	6	88.55	99	74	67
2120	0	88.55	99	71	56
2120	1	88.55	99	71	56
2120	6	88.55	99	71	56
2121	0	88.55	99	71	69
2121	1	98.95	99	71	69
2121	6	88.55	99	71	69
2122	0	88.55	99	71	55
2122	1	98.95	99	71	55
2122	6	88.55	99	71	55
