BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
11200	2	1	59.52	47.8
11200	5	2	52.11	28.5
11200	6	3	33.94	27.73
11201	0	0	57.7	34.69
11201	1	-1	61.14	39.02
11201	2	1	61.6	47.8
11201	5	2	48.9	28.5
11201	6	3	48.4	31.4
11202	0	0	52.06	34.62
11202	1	-1	58.98	35.39
11202	2	1	59.4	47.8
11202	5	2	53.5	28.5
11202	6	3	28.6	30.7
11203	0	0	57.28	32.13
11203	1	-1	57.94	36.45
11203	2	1	58.7	47.8
11203	5	2	48.9	28.5
11203	6	3	51.5	20.4
11300	0	0	41.42	48.51
11300	1	-1	43.72	48.23
11300	2	1	43.22	49
11300	5	2	52.58	46.7
11300	6	3	39.09	48.86
11301	0	0	48.63	46.7
11301	1	-1	50.55	48.08
11301	2	1	50.4	49
11301	5	2	53.5	46.7
11301	6	3	47	45.7
11302	0	0	39.77	47.53
11302	1	-1	41.97	48.04
11302	2	1	41.8	49
11302	5	2	48.9	46.7
11302	6	3	31	45.7
11303	0	0	42.23	48.38
11303	1	-1	43.21	47.48
11303	2	1	42.3	49
11303	5	2	53.5	46.7
11303	6	3	38.5	51.5
11304	0	0	40.78	46.7
11304	1	-1	42.3	46.7
11304	2	1	42.3	49
11304	5	2	53.5	46.7
11304	6	3	38.5	48.9
11305	0	0	39.49	49.95
11305	1	-1	43.63	48.62
11305	2	1	42.3	49
11305	5	2	53.5	46.7
11305	6	3	38.5	51.5
11400	0	0	39.86	45.22
11400	1	-1	50.98	44.38
11400	2	1	51.13	49.94
11400	5	2	49.27	38.6
11400	6	3	33.67	45.58
11401	0	0	39.6	41.16
11401	1	-1	51.19	40.37
11401	2	1	51.4	49.8
11401	5	2	49	35.8
11401	6	3	33.6	41.5
11402	0	0	45.97	48.18
11402	1	-1	48.71	47.21
11402	2	1	48.4	50
11402	5	2	53.5	42.3
11402	6	3	38.1	48.6
11500	0	0	45.98	37.42
11500	1	-1	50.48	45.93
11500	2	1	50.32	47.8
11500	5	2	53.21	45.11
11500	6	3	44.78	32.4
11501	0	0	54.23	32.4
11501	1	-1	66.82	46.5
11501	2	1	67.1	46.5
11501	5	2	48.9	23.9
11501	6	3	51.6	32.4
11502	0	0	41.99	32.86
11502	1	-1	44.68	37.53
11502	2	1	43.8	47.8
11502	5	2	53.5	32.4
11502	6	3	41.4	32.4
11503	0	0	50.98	34.26
11503	1	-1	50.8	46.5
11503	2	1	50.8	46.5
11503	5	2	51	23.9
11503	6	3	51	32.4
11504	0	0	46.19	42.01
11504	1	-1	47.98	47.03
11504	2	1	47.9	47.8
11504	5	2	53.5	46.7
11504	6	3	41.4	32.4
