ISCO88	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
245	0	0	75.93	75.77	-999	-999
245	1	-1	77.34	77.59	-999	-999
245	2	1	77.34	77.73	-999	-999
245	5	2	77.52	75.4	-999	-999
245	6	3	74.68	74.36	-999	-999
246	0	0	88.02	79.04	-999	-999
246	1	-1	89.1	82.65	-999	-999
246	2	1	89.1	82.7	-999	-999
246	5	2	88.1	78.9	-999	-999
246	6	3	87.2	77.5	-999	-999
300	0	0	56.68	60.58	-999	-999
300	1	-1	62.72	62.98	-999	-999
300	2	1	62.82	63.55	-999	-999
300	5	2	59.37	61.94	-999	-999
300	6	3	54.34	60.23	-999	-999
310	0	0	53.46	53.64	-999	-999
310	1	-1	62.47	64.78	-999	-999
310	2	1	62.5	66.1	-999	-999
310	5	2	62.09	63.39	-999	-999
310	6	3	52.33	52.9	-999	-999
311	0	0	54.25	57.02	-999	-999
311	1	-1	59.82	64.49	-999	-999
311	2	1	59.74	66.11	-999	-999
311	5	2	60.62	63.13	-999	-999
311	6	3	53.56	56.49	-999	-999
312	0	0	48.07	48.26	-999	-999
312	1	-1	58.5	66.73	-999	-999
312	2	1	58.5	66	-999	-999
312	5	2	58.5	67.6	-999	-999
312	6	3	47.9	48	-999	-999
313	0	0	54.46	62.2	-999	-999
313	1	-1	66.15	66.58	-999	-999
313	2	1	66.02	66	-999	-999
313	5	2	69.67	67.6	-999	-999
313	6	3	52.46	61.55	-999	-999
314	0	0	63.5	68.01	-999	-999
314	1	-1	68.7	67.4	-999	-999
314	2	1	68.89	68.1	-999	-999
314	5	2	36	64.25	-999	-999
314	6	3	62.2	68.1	-999	-999
315	0	0	41.3	35.3	-999	-999
315	1	-1	41.3	35.3	-999	-999
315	2	1	41.3	53.93	-999	-999
315	5	2	41.3	35.3	-999	-999
315	6	3	41.3	35.3	-999	-999
320	0	0	59.45	60.09	-999	-999
320	1	-1	67.95	67.79	-999	-999
320	2	1	68.06	67.86	-999	-999
320	5	2	63.42	67.74	-999	-999
320	6	3	56.64	59.37	-999	-999
321	0	0	54.72	52.9	-999	-999
321	1	-1	67.3	68	-999	-999
321	2	1	67.3	65.45	-999	-999
321	5	2	67.3	62.9	-999	-999
321	6	3	52.1	52.9	-999	-999
322	0	0	64.89	62.81	-999	-999
322	1	-1	67.93	68.19	-999	-999
322	2	1	68.04	67.84	-999	-999
322	5	2	63.6	68.56	-999	-999
322	6	3	61.84	61.57	-999	-999
323	0	0	54.68	58.19	-999	-999
323	1	-1	74.86	64.17	-999	-999
323	2	1	77.4	68.35	-999	-999
323	5	2	54.6	63.4	-999	-999
323	6	3	54.6	58.1	-999	-999
324	0	0	61.53	63.43	-999	-999
324	1	-1	68.4	68	-999	-999
324	2	1	63.65	65.45	-999	-999
324	5	2	58.9	62.9	-999	-999
324	6	3	57.3	59.4	-999	-999
330	0	0	68.7	70.29	-999	-999
330	1	-1	59.45	66.67	-999	-999
330	2	1	59.42	67.19	-999	-999
330	5	2	60.75	64.68	-999	-999
330	6	3	69.59	70.4	-999	-999
331	0	0	69.28	72.71	-999	-999
331	1	-1	77	73.61	-999	-999
331	2	1	77	72.2	-999	-999
331	5	2	77	76.5	-999	-999
331	6	3	69.2	72.7	-999	-999
332	0	0	71.6	67.14	-999	-999
332	1	-1	59.4	63.88	-999	-999
332	2	1	59.15	64.8	-999	-999
332	5	2	58.9	48.7	-999	-999
332	6	3	71.6	67.3	-999	-999
333	0	0	62.73	68.26	-999	-999
333	1	-1	59.4	67.2	-999	-999
333	2	1	59.15	67.35	-999	-999
333	5	2	58.9	67.5	-999	-999
333	6	3	69.9	70.1	-999	-999
334	0	0	66.68	62.34	-999	-999
334	1	-1	57.5	61.67	-999	-999
334	2	1	57.5	65.2	-999	-999
334	5	2	57.5	48.7	-999	-999
334	6	3	71.6	62.4	-999	-999
340	0	0	56.75	58.66	-999	-999
340	1	-1	62.59	60.9	-999	-999
340	2	1	62.7	62.14	-999	-999
340	5	2	57.75	57.84	-999	-999
340	6	3	52.78	57.94	-999	-999
341	0	0	55.96	56.29	-999	-999
341	1	-1	60.08	57.17	-999	-999
341	2	1	60.18	58.87	-999	-999
341	5	2	56.25	52.09	-999	-999
341	6	3	52.7	55.88	-999	-999
342	0	0	68.15	64.56	-999	-999
342	1	-1	70.05	67.37	-999	-999
342	2	1	70.06	66.53	-999	-999
342	5	2	68.92	73.8	-999	-999
342	6	3	64.19	63.11	-999	-999
343	0	0	63.28	62.52	-999	-999
343	1	-1	68.87	66.6	-999	-999
343	2	1	68.86	67.57	-999	-999
343	5	2	69.34	65.71	-999	-999
343	6	3	59.96	61.22	-999	-999
344	0	0	51.41	56.76	-999	-999
344	1	-1	65.68	62.36	-999	-999
344	2	1	65.68	64.9	-999	-999
344	5	2	68.6	52.9	-999	-999
344	6	3	48.8	56.5	-999	-999
345	0	0	57.86	60.66	-999	-999
345	1	-1	63.6	63.2	-999	-999
345	2	1	60.4	61.95	-999	-999
345	5	2	57.2	60.7	-999	-999
345	6	3	52.8	58.1	-999	-999
346	0	0	57.86	60.66	-999	-999
346	1	-1	63.6	63.2	-999	-999
346	2	1	60.4	61.95	-999	-999
346	5	2	57.2	60.7	-999	-999
346	6	3	52.8	58.1	-999	-999
347	0	0	59.82	63.1	-999	-999
347	1	-1	65.25	67.49	-999	-999
347	2	1	65.46	69.31	-999	-999
347	5	2	59.01	59.69	-999	-999
347	6	3	54.15	60.26	-999	-999
348	0	0	43.3	65.7	-999	-999
348	1	-1	43.3	65.7	-999	-999
348	2	1	43.3	65.7	-999	-999
348	5	2	43.3	65.7	-999	-999
348	6	3	43.3	65.7	-999	-999
400	0	0	43.69	54.33	-999	-999
400	1	-1	61.38	52.56	-999	-999
400	2	1	61.71	61.35	-999	-999
400	5	2	56.89	50.94	-999	-999
400	6	3	41.71	54.64	-999	-999
410	0	0	42.94	55.24	-999	-999
410	1	-1	61.67	52.62	-999	-999
410	2	1	62.07	61.53	-999	-999
410	5	2	56.75	51.02	-999	-999
410	6	3	40.57	55.78	-999	-999
411	0	0	55.34	55.97	-999	-999
411	1	-1	67.14	52.59	-999	-999
411	2	1	67.6	61.6	-999	-999
411	5	2	62.1	51	-999	-999
411	6	3	52.6	56.7	-999	-999
412	0	0	51	56.2	-999	-999
412	1	-1	59.6	61.8	-999	-999
412	2	1	57.15	56.4	-999	-999
412	5	2	54.7	51	-999	-999
412	6	3	38.7	55.8	-999	-999
413	0	0	33.1	37.39	-999	-999
413	1	-1	48.03	50.73	-999	-999
413	2	1	48.65	51.2	-999	-999
413	5	2	37.8	50.3	-999	-999
413	6	3	32.11	37.03	-999	-999
414	0	0	40.03	50.01	-999	-999
414	1	-1	67.6	81.14	-999	-999
414	2	1	67.6	80.6	-999	-999
414	5	2	52.38	82	-999	-999
414	6	3	39.92	48.97	-999	-999
419	0	0	51	56.2	-999	-999
419	1	-1	59.6	61.8	-999	-999
419	2	1	57.15	56.4	-999	-999
419	5	2	54.7	51	-999	-999
419	6	3	38.7	55.8	-999	-999
420	0	0	46.48	48.81	-999	-999
