ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
816	1	54.77	39.27	-999	-999
816	6	41.87	39.27	-999	-999
817	0	44.27	42.4	-999	-999
817	1	44.27	52.67	-999	-999
817	6	44.27	42.01	-999	-999
818	0	38.76	42.4	-999	-999
818	1	54.77	52.67	-999	-999
818	6	38.27	42.01	-999	-999
820	0	39.41	39.88	-999	-999
820	1	54.77	52.67	-999	-999
820	6	38.59	39.64	-999	-999
821	0	38.06	38.62	-999	-999
821	1	54.77	52.67	-999	-999
821	6	37.24	37.68	-999	-999
822	0	37.26	42.47	-999	-999
822	1	37.26	52.67	-999	-999
822	6	37.26	41.98	-999	-999
823	0	39.46	43.51	-999	-999
823	1	54.77	52.67	-999	-999
823	6	36.52	43.27	-999	-999
824	0	41.76	36.67	-999	-999
824	1	54.77	36.67	-999	-999
824	6	41.09	36.67	-999	-999
825	0	44.8	42.91	-999	-999
825	1	54.77	52.67	-999	-999
825	6	44.27	42.47	-999	-999
826	0	38.89	39.6	-999	-999
826	1	54.77	52.67	-999	-999
826	6	37.58	39.44	-999	-999
827	0	42.26	35.92	-999	-999
827	1	42.26	52.67	-999	-999
827	6	42.26	35.04	-999	-999
828	0	39.59	41.12	-999	-999
828	1	54.77	52.67	-999	-999
828	6	39.11	41.05	-999	-999
829	0	37.24	41.2	-999	-999
829	1	37.24	52.67	-999	-999
829	6	37.24	40.92	-999	-999
830	0	42.12	45.72	-999	-999
830	1	47.88	52.67	-999	-999
830	6	41.07	39.27	-999	-999
831	0	42.03	39.27	-999	-999
831	1	50.9	39.27	-999	-999
831	6	41.91	39.27	-999	-999
832	0	45.33	46.64	-999	-999
832	1	50.9	52.67	-999	-999
832	6	43.83	39.27	-999	-999
833	0	35.57	44.63	-999	-999
833	1	32.08	52.67	-999	-999
833	6	35.89	39.27	-999	-999
834	0	42.27	45.72	-999	-999
834	1	42.27	52.67	-999	-999
834	6	42.27	39.27	-999	-999
840	0	40.52	40.05	-999	-999
840	1	49.75	52.67	-999	-999
840	6	39.56	39.71	-999	-999
900	0	37.7	38.81	-999	-999
900	1	38.15	37.07	-999	-999
900	6	37.69	38.85	-999	-999
910	0	37.91	38.29	-999	-999
910	1	38.23	38.86	-999	-999
910	6	37.91	38.27	-999	-999
911	0	37.91	38	-999	-999
911	1	38.23	38	-999	-999
911	6	37.91	38	-999	-999
912	0	37.91	38.29	-999	-999
912	1	38.23	38.86	-999	-999
912	6	37.91	38.27	-999	-999
913	0	41.37	38.2	-999	-999
913	1	41.37	38.86	-999	-999
913	6	41.37	38.18	-999	-999
914	0	38.36	39.49	-999	-999
914	1	38.36	39.49	-999	-999
914	6	38.36	39.49	-999	-999
915	0	37.15	39.49	-999	-999
915	1	37.96	39.49	-999	-999
915	6	37.13	39.49	-999	-999
916	0	35.37	38	-999	-999
916	1	35.37	38	-999	-999
916	6	35.37	38	-999	-999
920	0	30.9	32.46	-999	-999
920	1	38.15	32.46	-999	-999
920	6	30.9	32.46	-999	-999
921	0	30.9	32.46	-999	-999
921	1	30.9	32.46	-999	-999
921	6	30.9	32.46	-999	-999
930	0	38.06	39.67	-999	-999
930	1	38.11	39.43	-999	-999
930	6	38.05	39.67	-999	-999
931	0	39.55	38	-999	-999
931	1	38.72	38	-999	-999
931	6	39.57	38	-999	-999
932	0	39.26	39.85	-999	-999
932	1	39.13	39.43	-999	-999
932	6	39.26	39.86	-999	-999
933	0	35.16	38	-999	-999
933	1	30.13	38	-999	-999
933	6	35.2	38	-999	-999
1000	0	80.77	94.1	55	51
1000	1	76.97	95.17	55	51
1000	6	82.17	93.86	55	51
1100	0	82.6	97.06	70	67
1100	1	76.97	95.17	70	67
1100	6	82.6	97.06	70	67
1110	0	82.6	97.06	77	64
1110	1	82.6	95.17	77	64
1110	6	82.6	97.06	77	64
1120	0	82.6	97.06	77	71
1120	1	82.6	97.06	77	71
1120	6	82.6	97.06	77	71
1130	0	82.6	97.06	66	63
1130	1	82.6	97.06	66	63
1130	6	82.6	97.06	66	63
1140	0	82.6	97.06	58	63
1140	1	82.6	97.06	58	63
1140	6	82.6	97.06	58	63
1141	0	82.6	97.06	58	63
1141	1	82.6	97.06	58	63
1141	6	82.6	97.06	58	63
1142	0	82.6	97.06	58	63
1142	1	82.6	97.06	58	63
1142	6	82.6	97.06	58	63
1143	0	82.6	97.06	58	63
1143	1	82.6	97.06	58	63
1143	6	82.6	97.06	58	63
1150	0	82.6	97.06	-999	-999
1150	1	76.97	95.17	-999	-999
1150	6	82.6	97.06	-999	-999
1160	0	82.6	97.06	-999	-999
1160	1	76.97	95.17	-999	-999
1160	6	82.6	97.06	-999	-999
1200	0	80.8	94.1	68	60
1200	1	77.22	96.79	68	60
1200	6	81	94.05	68	60
1210	0	80.8	94.1	70	70
1210	1	77.22	96.79	70	70
1210	6	81	94.05	70	70
1220	0	73.85	98.25	67	63
1220	1	74.16	96.79	67	63
1220	6	73.84	98.33	67	63
1221	0	75.17	98.25	67	60
1221	1	74.16	96.79	67	60
1221	6	75.17	98.33	67	60
1222	0	74.74	98.42	67	60
1222	1	78.45	96.79	67	60
1222	6	74.64	98.42	67	60
1223	0	75.17	98.25	67	60
1223	1	74.16	96.79	67	60
1223	6	75.17	98.33	67	60
1224	0	68.72	96.79	59	60
1224	1	69.86	96.79	59	60
1224	6	68.56	98.33	59	60
1225	0	68.56	96.79	59	60
1225	1	74.16	96.79	59	60
1225	6	68.56	96.79	59	60
1226	0	75.17	98.42	59	60
1226	1	74.16	96.79	59	60
1226	6	75.17	98.42	59	60
1227	0	75.17	98.42	87	60
1227	1	74.16	96.79	87	60
1227	6	75.17	98.42	87	60
1228	0	75.17	98.25	59	60
1228	1	74.16	96.79	59	60
1228	6	75.17	98.33	59	60
1229	0	75.17	98.42	67	60
1229	1	74.16	96.79	67	60
1229	6	75.17	98.42	67	60
1230	0	90.76	92.21	61	60
1230	1	78.45	96.79	61	60
1230	6	92.05	92.21	61	60
1231	0	92.05	92.21	69	60
1231	1	78.45	92.21	69	60
1231	6	92.05	92.21	69	60
1232	0	92.05	92.21	69	60
1232	1	78.45	92.21	69	60
1232	6	92.05	92.21	69	60
1233	0	83.89	92.21	56	60
1233	1	78.45	92.21	56	60
1233	6	92.05	92.21	56	60
1234	0	92.05	92.21	69	60
1234	1	78.45	96.79	69	60
1234	6	92.05	92.21	69	60
1235	0	87.52	92.21	69	60
1235	1	78.45	96.79	69	60
1235	6	92.05	92.21	69	60
1236	0	92.05	92.21	69	60
1236	1	78.45	92.21	69	60
1236	6	92.05	92.21	69	60
1237	0	92.05	92.21	69	60
1237	1	78.45	92.21	69	60
1237	6	92.05	92.21	69	60
1239	0	90.81	92.21	69	60
1239	1	78.45	92.21	69	60
1239	6	92.05	92.21	69	60
1240	0	80.8	94.1	58	55
1240	1	77.22	96.79	58	55
1240	6	81	94.05	58	55
1250	0	80.8	94.1	64	65
1250	1	77.22	96.79	64	65
1250	6	81	94.05	64	65
1251	0	80.8	94.1	70	73
1251	1	77.22	96.79	70	73
1251	6	81	94.05	70	73
1252	0	80.8	94.1	60	63
1252	1	77.22	96.79	60	63
1252	6	81	94.05	60	63
1300	0	80.49	93.41	51	50
1300	1	76.95	95.1	51	50
1300	6	83.39	92.13	51	50
1310	0	80.49	93.41	51	50
1310	1	76.95	95.1	51	50
1310	6	83.39	92.13	51	50
1311	0	81.52	92.13	43	47
1311	1	76.95	95.1	43	47
1311	6	81.52	92.13	43	47
1312	0	87.07	92.13	56	52
1312	1	78.45	92.13	56	52
1312	6	92.3	92.13	56	52
1313	0	79.57	92.13	51	52
1313	1	78.45	92.13	51	52
1313	6	81.52	92.13	51	52
1314	0	69.54	96.79	49	46
1314	1	69.86	96.79	49	46
1314	6	68.56	92.13	49	46
1315	0	68.91	96.79	44	38
1315	1	69.86	96.79	44	38
1315	6	68.56	92.13	44	38
1316	0	80.5	92.13	51	52
1316	1	78.45	95.1	51	52
1316	6	81.52	92.13	51	52
1317	0	91.23	92.13	51	52
1317	1	91.23	92.13	51	52
1317	6	91.23	92.13	51	52
1318	0	79.33	93.41	51	52
1318	1	78.45	95.1	51	52
1318	6	81.52	92.13	51	52
1319	0	81.52	92.13	51	52
1319	1	76.95	92.13	51	52
1319	6	81.52	92.13	51	52
2000	0	89.91	85.2	70	62
2000	1	94.77	97.24	70	62
2000	6	89.22	84.78	70	62
2100	0	88.8	94.95	69	63
