   60    6    0 30.7 34.7
   61    0    9 44.2 35.8
   61    1   -1 49.1 35.9
   61    2   -2 49.1 35.9
   61    3    2 49.1 35.9
   61    4    1 49.1 35.9
   61    5    3 49.1 35.9
   61    6    0 29.4 35.4
   62    0    9 35.0 34.1
   62    1   -1 35.1 34.1
   62    2   -2 35.3 34.2
   62    3    2 35.8 34.2
   62    4    1 34.8 34.1
   62    5    3 34.8 34.1
   62    6    0 34.8 34.1
   63    0    9 44.5 35.6
   63    1   -1 49.1 35.9
   63    2   -2 49.1 35.9
   63    3    2 49.1 35.9
   63    4    1 49.1 35.9
   63    5    3 49.1 35.9
   63    6    0 30.7 34.7
   64    0    9 44.6 35.6
   64    1   -1 49.1 35.9
   64    2   -2 49.1 35.9
   64    3    2 49.1 35.9
   64    4    1 49.1 35.9
   64    5    3 49.1 35.9
   64    6    0 31.3 34.7
   70    0    9 53.8 52.8
   70    1   -1 53.7 53.0
   70    2   -2 53.5 53.6
   70    3    2 53.0 52.0
   70    4    1 54.0 55.1
   70    5    3 54.0 52.0
   70    6    0 54.0 52.0
   71    0    9  6.9 53.9
   71    1   -1  8.9 54.7
   71    2   -2 10.6 56.0
   71    3    2 10.1 50.7
   71    4    1 11.1 61.3
   71    5    3  5.6 52.2
   71    6    0  1.0 51.5
   72    0    9 30.6 54.0
   72    1   -1 31.1 54.7
   72    2   -2 31.1 56.0
   72    3    2 33.3 50.7
   72    4    1 28.9 61.3
   72    5    3 31.1 52.2
   72    6    0 28.9 51.7
   73    0    9 39.8 53.8
   73    1   -1 44.6 54.7
   73    2   -2 45.7 56.0
   73    3    2 40.5 50.7
   73    4    1 50.8 61.3
   73    5    3 42.4 52.2
   73    6    0 25.5 51.0
   74    0    9 41.7 53.8
   74    1   -1 44.6 54.7
   74    2   -2 45.7 56.0
   74    3    2 40.5 50.7
   74    4    1 50.8 61.3
   74    5    3 42.4 52.2
   74    6    0 33.3 51.1
   75    0    9 31.4 47.3
   75    1   -1 33.1 47.9
   75    2   -2 35.3 48.5
   75    3    2 32.6 46.7
   75    4    1 38.0 50.4
   75    5    3 28.6 46.7
   75    6    0 26.3 45.6
   76    0    9 41.0 52.6
   76    1   -1 44.9 54.7
   76    2   -2 46.2 56.0
   76    3    2 41.6 50.7
   76    4    1 50.8 61.3
   76    5    3 42.4 52.2
   76    6    0 29.3 46.2
   77    0    9 34.4 46.2
   77    1   -1 38.3 46.4
   77    2   -2 38.6 46.7
   77    3    2 38.6 47.2
   77    4    1 38.6 46.2
   77    5    3 37.6 45.9
   77    6    0 22.9 45.3
   78    0    9 40.1 52.4
   78    1   -1 44.6 52.4
   78    2   -2 45.7 52.4
   78    3    2 40.5 52.4
   78    4    1 50.8 52.4
   78    5    3 42.4 52.4
   78    6    0 26.5 52.4
   79    0    9 47.8 54.8
   79    1   -1 50.5 55.1
   79    2   -2 50.3 56.4
   79    3    2 46.5 51.5
   79    4    1 54.2 61.3
   79    5    3 50.7 52.7
   79    6    0 39.9 53.9
   80    0    9 42.9 54.1
   80    1   -1 45.5 54.6
   80    2   -2 46.4 55.7
   80    3    2 43.8 50.2
   80    4    1 49.0 61.3
   80    5    3 43.8 52.2
   80    6    0 35.1 52.8
   81    0    9 39.1 49.1
   81    1   -1 41.1 49.1
   81    2   -2 42.2 49.1
   81    3    2 36.6 49.1
   81    4    1 47.8 49.1
   81    5    3 39.0 49.1
   81    6    0 33.0 49.1
   82    0    9 40.0 53.5
   82    1   -1 42.3 54.7
   82    2   -2 42.2 56.0
   82    3    2 36.6 50.7
   82    4    1 47.8 61.3
   82    5    3 42.4 52.2
   82    6    0 33.0 49.6
   83    0    9 41.2 49.6
   83    1   -1 42.2 49.6
   83    2   -2 43.3 49.6
   83    3    2 36.6 49.6
   83    4    1 50.0 49.6
   83    5    3 40.1 49.6
   83    6    0 38.3 49.6
   84    0    9 39.8 52.0
   84    1   -1 42.3 52.1
   84    2   -2 43.0 52.1
   84    3    2 38.4 52.0
   84    4    1 47.6 52.2
   84    5    3 40.8 52.0
   84    6    0 32.4 51.8
   85    0    9 43.1 53.9
   85    1   -1 45.0 54.7
   85    2   -2 45.5 56.0
   85    3    2 44.1 50.7
   85    4    1 46.9 61.3
   85    5    3 44.1 52.2
   85    6    0 37.2 51.5
   86    0    9 42.6 54.0
   86    1   -1 44.6 54.7
   86    2   -2 45.7 56.0
   86    3    2 40.5 50.7
   86    4    1 50.8 61.3
   86    5    3 42.4 52.2
   86    6    0 36.6 51.6
   87    0    9 35.8 54.0
   87    1   -1 37.9 54.7
   87    2   -2 37.9 56.0
   87    3    2 37.9 50.7
   87    4    1 37.9 61.3
   87    5    3 37.9 52.2
   87    6    0 29.6 51.8
   88    0    9 45.2 54.0
   88    1   -1 47.0 54.7
   88    2   -2 49.4 56.0
   88    3    2 45.9 50.7
   88    4    1 52.8 61.3
   88    5    3 42.4 52.2
   88    6    0 39.8 51.9
   89    0    9 35.2 53.1
   89    1   -1 35.6 53.1
   89    2   -2 36.2 53.1
   89    3    2 38.1 53.2
   89    4    1 34.3 52.9
   89    5    3 34.3 53.2
   89    6    0 34.3 52.9
   90    0    9 47.5 44.7
   90    1   -1 51.7 45.1
   90    2   -2 52.0 43.6
   90    3    2 51.1 43.6
   90    4    1 53.0 43.6
   90    5    3 51.1 48.0
   90    6    0 34.7 43.6
   91    0    9 46.2 54.2
   91    1   -1 50.1 54.7
   91    2   -2 53.9 56.0
   91    3    2 51.1 50.7
   91    4    1 56.7 61.3
   91    5    3 42.4 52.2
   91    6    0 34.7 52.5
   92    0    9 55.2 54.0
   92    1   -1 56.8 54.7
   92    2   -2 56.8 56.0
   92    3    2 56.8 50.7
   92    4    1 56.8 61.3
   92    5    3 56.8 52.2
   92    6    0 50.4 51.8
   93    0    9 29.4 54.0
   93    1   -1 30.2 54.7
   93    2   -2 31.8 56.0
