soc2010	es	gb_csm	gb_csf
2423	1	75.83	83.3
2423	2	73.21	68.93
2423	3	74.47	67.63
2423	4	70.38	68.93
2423	5	70.38	68.93
2424	0	69.47	75.22
2424	1	75.83	70.49
2424	2	73.21	75.22
2424	3	69.07	67.63
2424	4	69.51	75.22
2424	5	69.51	75.22
2425	0	76.88	72.03
2425	1	76.88	72.03
2425	2	76.88	73.42
2425	3	71.92	67.63
2425	4	81.69	73.42
2425	5	81.69	73.42
2426	0	69.84	73.36
2426	1	69.84	73.36
2426	2	73.21	74.21
2426	3	71.92	67.63
2426	4	68.52	74.21
2426	5	68.52	74.21
2429	0	73.61	73.42
2429	1	75.83	83.3
2429	2	73.21	70.78
2429	3	71.92	67.63
2429	4	75.99	73.42
2429	5	75.99	73.42
2431	0	71.8	78.07
2431	1	67.6	78.07
2431	2	71.86	78.07
2431	3	80.51	78.07
2431	4	71.8	78.07
2431	5	71.8	78.07
2432	0	61.65	78.07
2432	1	67.6	78.07
2432	2	62.72	78.07
2432	3	52.95	78.07
2432	4	64.17	78.07
2432	5	64.17	78.07
2433	0	60.31	78.07
2433	1	67.6	78.07
2433	2	62.72	78.07
2433	3	52.95	78.07
2433	4	64.17	78.07
2433	5	64.17	78.07
2434	0	68.49	78.07
2434	1	67.6	78.07
2434	2	62.72	78.07
2434	3	74.23	78.07
2434	4	67.29	78.07
2434	5	67.29	78.07
2435	0	73.37	78.07
2435	1	73.37	78.07
2435	2	71.86	78.07
2435	3	80.51	78.07
2435	4	71.8	78.07
2435	5	71.8	78.07
2436	0	57.21	78.07
2436	1	67.6	78.07
2436	2	56.98	78.07
2436	3	56.98	78.07
2436	4	56.98	78.07
2436	5	56.98	78.07
2442	0	65.01	57.96
2442	1	65.01	62.58
2442	2	65.01	57.96
2442	3	65.01	62.58
2442	4	65.01	57.96
2442	5	65.01	57.96
2443	0	65.01	58.54
2443	1	65.01	58.54
2443	2	65.01	58.54
2443	3	65.01	62.58
2443	4	65.01	58.54
2443	5	65.01	57.96
2444	0	71.49	68.16
2444	1	71.49	68.16
2444	2	71.49	68.16
2444	3	71.49	68.16
2444	4	71.49	68.16
2444	5	71.49	68.16
2449	0	65.01	68.16
2449	1	65.01	68.16
2449	2	65.01	68.16
2449	3	65.01	68.16
2449	4	65.01	68.16
2449	5	65.01	68.16
2451	0	62.08	76.87
2451	1	62.08	76.87
2451	2	62.08	76.87
2451	3	62.08	76.87
2451	4	62.08	76.87
2451	5	62.08	76.87
2452	0	62.08	76.87
2452	1	62.08	76.87
2452	2	62.08	76.87
2452	3	62.08	76.87
2452	4	62.08	76.87
2452	5	62.08	76.87
2461	0	50.57	53.07
2461	1	50.57	53.07
2461	2	50.57	53.07
2461	3	50.57	53.07
2461	4	50.57	53.07
2461	5	50.57	53.07
2462	0	64.87	53.07
2462	1	64.87	53.07
2462	2	64.87	53.07
2462	3	64.87	53.07
2462	4	64.87	53.07
2462	5	64.87	53.07
2463	0	64.87	53.07
2463	1	64.87	53.07
2463	2	64.87	53.07
2463	3	64.87	53.07
2463	4	64.87	53.07
2463	5	64.87	53.07
2471	0	78.46	76.62
2471	1	78.46	76.62
2471	2	78.46	76.62
2471	3	78.46	76.62
2471	4	78.46	76.62
2471	5	78.46	76.62
2472	0	79.96	67.38
2472	1	79.96	67.38
2472	2	79.96	67.38
2472	3	79.96	67.38
2472	4	79.96	67.38
2472	5	79.96	67.38
2473	0	73.38	67.32
2473	1	73.38	67.32
2473	2	73.38	67.32
2473	3	73.38	67.32
2473	4	73.38	67.32
2473	5	73.38	67.32
3111	0	51.91	59.66
3111	1	51.91	59.66
3111	2	51.91	59.66
3111	3	51.91	59.66
3111	4	51.91	59.66
3111	5	51.91	59.66
3112	0	47.87	50.51
3112	1	47.87	50.51
3112	2	47.87	50.51
3112	3	47.87	50.51
3112	4	47.87	50.51
3112	5	47.87	50.51
3113	0	47.84	50.51
3113	1	47.84	50.51
3113	2	47.84	50.51
3113	3	47.84	50.51
3113	4	47.84	50.51
3113	5	47.84	50.51
3114	0	57.46	50.51
3114	1	57.46	50.51
3114	2	57.46	50.51
3114	3	57.46	50.51
3114	4	57.46	50.51
3114	5	57.46	50.51
3115	0	42.37	45.88
3115	1	42.37	45.88
3115	2	42.37	45.88
3115	3	42.37	45.88
3115	4	42.37	45.88
3115	5	42.37	45.88
3116	0	30.39	53.79
3116	1	30.39	53.79
3116	2	30.39	53.79
3116	3	30.39	53.79
3116	4	30.39	53.79
3116	5	30.39	53.79
3119	0	44.35	53.79
3119	1	44.35	53.79
3119	2	44.35	53.79
3119	3	44.35	53.79
3119	4	44.35	53.79
3119	5	44.35	53.79
3121	0	50.88	54.02
3121	1	50.88	54.02
3121	2	50.88	54.02
3121	3	50.88	54.02
3121	4	50.88	54.02
3121	5	50.88	54.02
3122	0	52.15	54.02
3122	1	52.15	54.02
3122	2	52.15	54.02
3122	3	52.15	54.02
3122	4	52.15	54.02
3122	5	52.15	54.02
3131	0	54.03	62.06
3131	1	54.03	62.06
3131	2	54.03	62.06
3131	3	54.03	62.06
3131	4	54.03	62.06
3131	5	54.03	62.06
3132	0	49.81	56.37
3132	1	49.81	56.37
3132	2	49.81	56.37
3132	3	49.81	56.37
3132	4	49.81	56.37
3132	5	49.81	56.37
3213	0	62.13	61.87
3213	1	62.13	61.87
3213	2	62.13	61.87
3213	3	62.13	61.87
3213	4	62.13	61.87
3213	5	62.13	61.87
3216	0	51.34	45.82
3216	1	51.34	45.82
3216	2	51.34	63.69
3216	3	51.34	45.04
3216	4	51.34	45.82
3216	5	51.34	45.04
3217	0	53.78	42.63
3217	1	53.78	42.63
3217	2	73.36	42.63
3217	3	51.34	42.63
3217	4	51.34	42.63
3217	5	51.34	42.63
3218	0	57.47	48.36
3218	1	73.36	48.36
3218	2	73.36	63.69
3218	3	51.34	45.04
3218	4	51.34	45.04
3218	5	51.34	45.04
3219	0	62.35	45.04
3219	1	62.35	61.84
3219	2	73.36	63.69
3219	3	51.34	58.8
3219	4	51.34	58.8
3219	5	51.34	58.8
3231	0	56.62	52.08
3231	1	56.62	52.08
3231	2	56.62	52.08
3231	3	56.62	52.08
3231	4	56.62	52.08
3231	5	56.62	52.08
3233	0	56.62	48.47
3233	1	56.62	48.47
3233	2	56.62	48.47
3233	3	56.62	48.47
3233	4	56.62	48.47
3233	5	56.62	48.47
3234	0	46.71	43.3
3234	1	46.71	43.3
3234	2	46.71	43.3
3234	3	46.71	43.3
3234	4	46.71	43.3
3234	5	46.71	43.3
3235	0	60.36	54.15
3235	1	60.36	54.15
3235	2	60.36	54.15
3235	3	60.36	54.15
3235	4	60.36	54.15
3235	5	60.36	54.15
3239	0	60.36	54.15
3239	1	60.36	54.15
3239	2	60.36	54.15
3239	3	60.36	54.15
3239	4	60.36	54.15
3239	5	60.36	54.15
3311	0	47.2	48.23
3311	1	47.2	48.23
3311	2	47.2	48.23
3311	3	47.2	48.23
3311	4	47.2	48.23
3311	5	47.2	48.23
3312	0	60.64	48.23
3312	1	60.64	48.23
3312	2	60.64	48.23
3312	3	60.64	48.23
3312	4	60.64	48.23
3312	5	60.64	48.23
3313	0	57.78	48.23
3313	1	57.78	48.23
3313	2	57.78	48.23
3313	3	57.78	48.23
3313	4	57.78	48.23
3313	5	57.78	48.23
3314	0	45.78	44.04
3314	1	45.78	44.04
3314	2	45.78	44.04
