isco08	es	gb_csm	gb_csf
3115	3	47.84	50.51
3115	4	47.84	50.51
3115	5	47.84	50.51
3116	0	49.31	52.47
3116	1	49.69	52.27
3116	2	49.31	52.5
3116	3	49.3	52.47
3116	4	49.3	52.52
3116	5	49.33	52.51
3117	0	49.31	52.47
3117	1	49.69	52.27
3117	2	49.31	52.5
3117	3	49.3	52.47
3117	4	49.3	52.52
3117	5	49.33	52.51
3118	0	52.15	54.02
3118	1	52.15	54.02
3118	2	52.15	54.02
3118	3	52.15	54.02
3118	4	52.15	54.02
3118	5	52.15	54.02
3119	0	43.36	49.83
3119	1	43.36	49.83
3119	2	43.41	50.02
3119	3	43.35	49.8
3119	4	43.42	50.08
3119	5	43.43	50.12
3121	0	42.49	34.9
3121	1	40.08	34.9
3121	2	43.57	34.9
3121	3	40.08	34.9
3121	4	43.57	34.9
3121	5	43.57	34.9
3122	0	45.56	28.93
3122	1	43.83	28.93
3122	2	46.65	28.93
3122	3	43.83	28.93
3122	4	46.65	28.93
3122	5	46.65	28.93
3123	0	39.41	40.87
3123	1	36.34	40.87
3123	2	40.48	40.87
3123	3	36.34	40.87
3123	4	40.48	40.87
3123	5	40.48	40.87
3131	0	32.13	21.06
3131	1	32.13	21.06
3131	2	30.48	21.06
3131	3	39.9	21.06
3131	4	30.48	21.06
3131	5	30.48	21.06
3132	0	49.05	21.06
3132	1	49.05	21.06
3132	2	50.29	21.06
3132	3	39.9	21.06
3132	4	50.29	21.06
3132	5	50.29	21.06
3133	0	37.19	31.97
3133	1	37.19	31.97
3133	2	37.05	31.97
3133	3	36.73	31.97
3133	4	37.05	31.97
3133	5	37.05	31.97
3134	0	37.19	31.97
3134	1	37.19	31.97
3134	2	37.05	31.97
3134	3	36.73	31.97
3134	4	37.05	31.97
3134	5	37.05	31.97
3135	0	37.19	31.97
3135	1	37.19	31.97
3135	2	37.05	31.97
3135	3	36.73	31.97
3135	4	37.05	31.97
3135	5	37.05	31.97
3139	0	30.39	53.79
3139	1	30.39	53.79
3139	2	30.39	53.79
3139	3	30.39	53.79
3139	4	30.39	53.79
3139	5	30.39	53.79
3141	0	55.63	58.83
3141	1	55.63	58.83
3141	2	55.63	58.83
3141	3	55.63	58.83
3141	4	55.63	58.83
3141	5	55.63	58.83
3142	0	55.63	58.83
3142	1	55.63	58.83
3142	2	55.63	58.83
3142	3	55.63	58.83
3142	4	55.63	58.83
3142	5	55.63	58.83
3143	0	55.63	58.83
3143	1	55.63	58.83
3143	2	55.63	58.83
3143	3	55.63	58.83
3143	4	55.63	58.83
3143	5	55.63	58.83
3151	0	67.76	59.66
3151	1	67.76	59.66
3151	2	67.76	59.66
3151	3	67.76	59.66
3151	4	67.76	59.66
3151	5	67.76	59.66
3152	0	62.96	59.66
3152	1	62.96	59.66
3152	2	62.96	59.66
3152	3	62.96	59.66
3152	4	62.96	59.66
3152	5	62.96	59.66
3153	0	77.37	59.66
3153	1	77.37	59.66
3153	2	77.37	59.66
3153	3	77.37	59.66
3153	4	77.37	59.66
3153	5	77.37	59.66
3154	0	62.96	59.66
3154	1	62.96	59.66
3154	2	62.96	59.66
3154	3	62.96	59.66
3154	4	62.96	59.66
3154	5	62.96	59.66
3155	0	67.76	59.66
3155	1	67.76	59.66
3155	2	67.76	59.66
3155	3	67.76	59.66
3155	4	67.76	59.66
3155	5	67.76	59.66
3211	0	63.96	65.55
3211	1	72.49	50.27
3211	2	72.75	63.96
3211	3	58.18	56.53
3211	4	58.26	56.67
3211	5	57.97	56.19
3212	0	56.94	51.22
3212	1	61.78	44.43
3212	2	64.5	51.11
3212	3	54.22	47.59
3212	4	54.24	47.56
3212	5	54.09	47.29
3213	0	49.91	36.88
3213	1	51.07	38.6
3213	2	56.26	38.25
3213	3	50.27	38.65
3213	4	50.22	38.46
3213	5	50.2	38.4
3214	0	56.94	51.22
3214	1	61.78	44.43
3214	2	64.5	51.11
3214	3	54.22	47.59
3214	4	54.24	47.56
3214	5	54.09	47.29
3221	0	53.24	48.97
3221	1	54.53	48.29
3221	2	55.99	52.87
3221	3	51.9	48.99
3221	4	51.85	49.01
3221	5	51.66	48.59
3222	0	53.24	48.97
3222	1	54.53	48.29
3222	2	55.99	52.87
3222	3	51.9	48.99
3222	4	51.85	49.01
3222	5	51.66	48.59
3230	0	62.35	45.04
3230	1	62.35	61.84
3230	2	73.36	63.69
3230	3	51.34	58.8
3230	4	51.34	58.8
3230	5	51.34	58.8
3240	0	51.21	49.33
3240	1	51.21	49.33
3240	2	51.21	49.33
3240	3	51.21	49.33
3240	4	51.21	49.33
3240	5	51.21	49.33
3251	0	40.83	36.97
3251	1	40.83	36.97
3251	2	40.83	36.97
3251	3	40.83	36.97
3251	4	40.83	36.97
3251	5	40.83	36.97
3252	0	50.81	48.38
3252	1	50.81	48.38
3252	2	50.81	52.84
3252	3	51.01	48.48
3252	4	50.92	48.53
3252	5	50.66	47.95
3253	0	50.81	48.38
3253	1	50.81	48.38
3253	2	50.81	52.84
3253	3	51.01	48.48
3253	4	50.92	48.53
3253	5	50.66	47.95
3254	0	51.34	45.82
3254	1	51.34	45.82
3254	2	51.34	63.69
3254	3	51.34	45.04
3254	4	51.34	45.82
3254	5	51.34	45.04
3255	0	50.81	48.38
3255	1	50.81	48.38
3255	2	50.81	52.84
3255	3	51.01	48.48
3255	4	50.92	48.53
3255	5	50.66	47.95
3256	0	50.81	48.38
3256	1	50.81	48.38
3256	2	50.81	52.84
3256	3	51.01	48.48
3256	4	50.92	48.53
3256	5	50.66	47.95
3257	0	55.16	58.15
3257	1	55.16	58.15
3257	2	55.16	58.15
3257	3	55.16	58.15
3257	4	55.16	58.15
3257	5	55.16	58.15
3258	0	55.92	52.56
3258	1	55.92	52.56
3258	2	55.92	52.56
3258	3	56.72	53.76
3258	4	56.34	53.19
3258	5	55.31	51.65
3259	0	50.81	48.38
3259	1	50.81	48.38
3259	2	50.81	52.84
3259	3	51.01	48.48
3259	4	50.92	48.53
3259	5	50.66	47.95
3311	0	57.48	60.42
3311	1	66.4	60.42
3311	2	59.81	63.7
3311	3	57.48	60.21
3311	4	57.48	60.21
3311	5	57.48	60.21
3312	0	33.97	45.74
3312	1	33.97	45.74
3312	2	33.97	56.59
3312	3	33.97	45.59
3312	4	33.97	45.59
3312	5	33.97	45.59
3313	0	60.6	59.39
3313	1	65.03	60.14
3313	2	59.43	63.7
3313	3	60.71	59.2
3313	4	60.69	59.18
3313	5	60.68	59.18
3314	0	59.58	58.84
3314	1	66.4	63.7
3314	2	59.43	63.7
3314	3	59.46	58.52
3314	4	59.46	58.52
3314	5	59.46	58.52
3315	0	56.29	57.39
3315	1	66.4	57.39
3315	2	59.81	63.7
3315	3	56.29	57.12
3315	4	56.29	57.12
3315	5	56.29	57.12
3321	0	58.68	56.58
3321	1	58.68	56.58
3321	2	58.68	56.58
3321	3	58.68	56.58
3321	4	58.68	56.58
3321	5	58.68	56.58
3322	0	51.55	51.54
3322	1	48.78	69.47
3322	2	48.78	69.47
3322	3	51.55	49.36
3322	4	51.55	49.36
3322	5	51.55	49.36
3323	0	58.39	57.2
3323	1	48.78	69.47
3323	2	48.78	57.2
3323	3	58.91	57.07
3323	4	58.91	57.07
3323	5	58.91	57.07
3324	0	59.45	58.52
3324	1	59.45	58.52
3324	2	59.43	58.52
3324	3	59.46	58.52
3324	4	59.45	58.52
3324	5	59.46	58.52
3331	0	59.08	54.57
3331	1	65.1	69.47
3331	2	65.1	69.47
3331	3	57.42	53.22
3331	4	57.42	53.22
3331	5	57.42	53.22
3332	0	60.05	54.27
3332	1	65.1	69.47
3332	2	65.1	69.47
3332	3	58.79	51.59
3332	4	58.79	51.59
