isco88	empst3	mcamsis	fcamsis
311	1	60.58911	61.33471
311	2	60.58911	61.33471
311	3	58.20467	59.46155
312	0	72.24984	62.91799
312	1	70.37466	63.21484
312	2	70.37466	63.21484
312	3	72.25669	62.91741
313	0	67.66555	58.16419
313	1	65.46642	56.65758
313	2	65.46642	56.65758
313	3	67.80678	58.20006
314	0	71.63612	67.78463
314	1	68.81484	60.13113
314	2	68.81484	60.13113
314	3	71.64515	67.78463
315	0	54.6302	47.50027
315	1	61.78041	47.50027
315	2	61.78041	47.50027
315	3	54.6302	47.50027
316	0	49.59888	51.29193
316	1	61.78041	60.13113
316	2	61.78041	60.13113
316	3	49.59888	51.29193
317	0	50.36369	57.83092
317	2	50.13736	60.13113
317	3	50.36755	57.83092
320	0	58.2938	61.66709
320	1	72.62798	70.09193
320	2	72.62798	70.09193
320	3	57.87883	61.57648
321	0	50.53925	49.92815
321	1	64.59316	52.26181
321	2	64.59316	52.26181
321	3	50.48505	49.91719
322	0	65.30856	62.30545
322	1	73.19042	70.36837
322	2	73.19042	70.36837
322	3	64.88457	62.21407
323	0	75.88017	55.42017
323	1	72.62798	70.09193
323	2	72.62798	70.09193
323	3	75.88017	55.42017
324	0	58.2938	61.66709
324	1	72.62798	70.09193
324	2	72.62798	70.09193
324	3	57.87883	61.57648
330	0	64.89506	61.98126
330	1	65.19309	66.3362
330	2	65.19309	66.3362
330	3	64.88396	61.98126
331	0	69.68745	63.819
331	1	69.68745	66.3362
331	2	69.68745	66.3362
331	3	69.68745	63.819
332	0	71.03242	60.19929
332	1	71.03242	66.3362
332	2	71.03242	66.3362
332	3	71.03242	60.19929
333	0	67.4437	57.48711
333	1	67.4437	66.3362
333	2	67.4437	66.3362
333	3	67.4437	57.48711
334	0	61.62754	60.13132
334	1	64.93024	66.3362
334	2	64.93024	66.3362
334	3	61.43095	60.13132
340	0	65.93296	61.40014
340	1	62.57494	65.46165
340	2	62.57494	65.46165
340	3	66.04917	61.32882
341	0	68.97017	60.81622
341	1	68.92651	72.50525
341	2	68.92651	72.50525
341	3	68.97189	60.22817
342	0	67.04569	62.73827
342	1	69.23289	62.65628
342	2	69.23289	62.65628
342	3	66.99811	62.73967
343	0	65.37637	61.63194
343	1	72.42796	64.58932
343	2	72.42796	64.58932
343	3	65.18528	61.58732
344	0	69.97735	62.66058
344	1	62.57494	61.49838
344	2	62.57494	61.49838
344	3	69.97735	62.66655
345	0	62.90757	63.92371
345	1	62.90757	65.46165
345	2	62.90757	65.46165
345	3	62.90757	63.92371
346	0	56.7345	49.69061
346	1	62.57494	49.69061
346	2	62.57494	49.69061
346	3	56.7345	49.69061
347	0	67.89293	67.38078
347	1	52.93285	66.55376
347	2	52.93285	66.55376
347	3	70.55788	67.44118
348	0	56.13569	67.69999
348	1	62.57494	65.46165
348	2	62.57494	65.46165
348	3	56.13569	67.69999
349	0	65.93296	61.40014
349	1	62.57494	65.46165
349	2	62.57494	65.46165
349	3	66.04917	61.32882
400	0	57.16976	55.04516
400	1	57.00381	54.33902
400	2	57.00381	54.33902
400	3	57.17055	55.04747
410	0	56.9693	55.47503
410	1	56.8803	54.33902
410	2	56.8803	54.33902
410	3	56.96972	55.47942
411	0	72.97865	61.75438
411	1	75.5532	54.33902
411	2	75.5532	54.33902
411	3	72.96432	61.77035
412	0	67.67448	60.83055
412	1	69.09631	54.33902
412	2	69.09631	54.33902
412	3	67.67031	60.86219
413	0	54.0605	50.36173
413	1	53.36234	54.33902
413	2	53.36234	54.33902
413	3	54.06443	50.34042
414	0	49.80135	52.39747
414	1	56.8803	54.33902
414	2	56.8803	54.33902
414	3	49.80135	52.39618
419	0	60.97079	60.97287
419	1	60.97079	54.33902
419	2	60.97079	54.33902
419	3	60.97079	61.01018
420	0	59.01199	53.86682
420	1	58.02722	54.33902
420	2	58.02722	54.33902
420	3	59.01709	53.86605
421	0	57.38381	54.02276
421	1	58.02722	54.33902
421	2	58.02722	54.33902
421	3	57.3792	54.02227
422	0	63.32316	53.50378
422	1	58.02722	54.33902
422	2	58.02722	54.33902
422	3	63.32316	53.50227
500	0	53.34974	45.37329
500	1	53.4643	49.77098
500	2	53.4643	49.77098
500	3	53.34378	45.2398
510	0	52.84687	45.92089
510	1	56.18536	50.72536
510	2	56.18536	50.72536
510	3	52.74033	45.77709
511	0	47.21504	49.40513
511	1	56.18536	49.40513
511	2	56.18536	49.40513
511	3	47.21504	49.40513
512	0	57.92702	48.94941
512	1	57.41799	55.82798
512	2	57.41799	55.82798
512	3	57.96252	48.74975
513	0	48.51498	40.90406
513	1	46.11185	38.37455
513	2	46.11185	38.37455
513	3	48.57211	40.94885
514	0	47.04307	47.90746
514	1	46.04601	51.929
514	2	46.04601	51.929
514	3	47.15115	47.58965
515	0	52.84687	45.92089
515	1	56.18536	50.72536
515	2	56.18536	50.72536
515	3	52.74033	45.77709
516	0	49.35446	50.21529
516	1	48.86442	50.72536
516	2	48.86442	50.72536
516	3	49.3551	50.21529
520	0	54.80202	44.91723
520	1	51.10526	48.9957
520	2	51.10526	48.9957
520	3	55.22661	44.79198
521	0	54.80202	44.91723
521	1	51.10526	48.9957
521	2	51.10526	48.9957
521	3	55.22661	44.79198
522	0	54.80202	44.91723
522	1	51.10526	48.9957
522	2	51.10526	48.9957
522	3	55.22661	44.79198
523	0	54.80202	44.91723
523	1	51.10526	48.9957
523	2	51.10526	48.9957
523	3	55.22661	44.79198
600	0	43.36299	37.84915
600	1	43.70957	37.80545
600	2	43.70957	37.80545
600	3	43.05353	37.85937
610	0	43.36299	37.84915
610	1	43.70957	37.80545
610	2	43.70957	37.80545
610	3	43.05353	37.85937
611	0	43.87704	37.68716
611	1	44.66515	37.3391
611	2	44.66515	37.3391
611	3	43.22338	37.77308
612	0	41.60253	37.3906
612	1	42.04689	37.266
612	2	42.04689	37.266
612	3	41.30516	37.40985
613	0	43.22197	38.0085
613	1	43.1752	38.21392
613	2	43.1752	38.21392
613	3	43.27019	37.96042
614	0	41.81271	42.76284
614	1	41.81271	37.96042
614	2	41.81271	37.96042
614	3	41.81271	42.8046
615	0	40.00393	40.38251
615	1	40.00393	37.80545
615	2	40.00393	37.80545
615	3	40.00393	40.38251
620	0	43.36299	37.84915
620	1	43.70957	37.80545
620	2	43.70957	37.80545
620	3	43.05353	37.85937
621	0	43.36299	37.84915
621	1	43.70957	37.80545
621	2	43.70957	37.80545
621	3	43.05353	37.85937
700	0	42.21964	41.37214
700	1	39.63766	41.0109
700	2	39.63766	41.0109
700	3	42.3635	41.37735
710	0	39.01072	40.76486
710	1	36.99516	39.76343
710	2	36.99516	39.76343
710	3	39.26198	40.80621
711	0	40.20214	42.28655
711	1	35.53549	40.44266
711	2	35.53549	40.44266
711	3	40.28611	42.30191
712	0	37.01579	41.58532
712	1	35.77556	40.73642
712	2	35.77556	40.73642
712	3	37.23627	41.64265
713	0	42.95814	44.61796
713	1	45.55248	43.88197
713	2	45.55248	43.88197
713	3	42.87008	44.6237
714	0	39.54024	38.3381
714	1	39.05935	38.33295
714	2	39.05935	38.33295
714	3	39.62256	38.33831
720	0	43.5395	43.47817
720	1	42.31104	42.64228
720	2	42.31104	42.64228
720	3	43.5694	43.48368
721	0	42.11388	42.5528
721	1	42.4271	41.69835
