OCC60	STDEMPST	USEMPST	MCAMSIS	FCAMSIS
163	1	-1	89.4	65.45
163	2	1	89.4	66.1
163	5	2	74	59.6
163	6	-2	92.15	84.9
164	-4	4	63.2	50.3
164	-3	3	63.9	50.3
164	0	0	63.37	50.3
164	1	-1	74	59.6
164	2	1	74	59.6
164	5	2	74	59.6
164	6	-2	63.37	50.3
165	-4	4	68.2	64
165	-3	3	71.6	77.7
165	0	0	70.49	72.71
165	1	-1	71.6	66.1
165	2	1	71.6	66.1
165	5	2	71.6	66.1
165	6	-2	70.45	72.85
170	-4	4	73.3	66.1
170	-3	3	73.3	66.1
170	0	0	73.3	65.66
170	1	-1	73.3	62.5
170	2	1	73.3	62.5
170	5	2	73.3	62.5
170	6	-2	73.3	66.1
171	-4	4	70.2	69.5
171	-3	3	93.7	77.2
171	0	0	74.82	71.53
171	1	-1	80.56	60.76
171	2	1	74	62.5
171	5	2	93.7	59.6
171	6	-2	74.77	71.61
172	-4	4	99	82.9
172	-3	3	87.2	82.9
172	0	0	89.02	82.3
172	1	-1	80.2	68.5
172	2	1	80.2	68.5
172	5	2	76.4	68.5
172	6	-2	90.91	82.9
173	-4	4	90.1	90.2
173	-3	3	99	90.2
173	0	0	93.18	87.88
173	1	-1	99	79.3
173	2	1	99	79.3
173	5	2	76.4	68.5
173	6	-2	92.78	90.2
174	-4	4	85.3	72.8
174	-3	3	78.5	71.1
174	0	0	80.43	71.65
174	1	-1	80.2	71.1
174	2	1	80.2	71.1
174	5	2	76.4	68.5
174	6	-2	80.44	71.66
175	-4	4	85.3	82.9
175	-3	3	78.5	82.9
175	0	0	84.16	82.9
175	1	-1	76.4	82.9
175	2	1	76.4	82.9
175	5	2	76.4	68.5
175	6	-2	84.16	82.9
180	-4	4	82.4	75.4
180	-3	3	68	69.6
180	0	0	77.54	73.1
180	1	-1	71.1	66.1
180	2	1	71.1	66.1
180	5	2	76.4	66.1
180	6	-2	77.88	73.42
181	-4	4	55.2	65
181	-3	3	64	65
181	0	0	59.85	65
181	1	-1	64.6	68.5
181	2	1	64.6	68.5
181	5	2	76.4	68.5
181	6	-2	59.44	65
182	-4	4	62.7	64.3
182	-3	3	69.8	65.1
182	0	0	63.35	64.36
182	1	-1	99	59.1
182	2	1	99	59.1
182	5	2	76.4	59.1
182	6	-2	63.29	64.39
183	-4	4	74.1	67.8
183	-3	3	78.4	65.8
183	0	0	74.41	67.66
183	1	-1	99	71.6
183	2	1	99	71.6
183	5	2	76.4	68.5
183	6	-2	74.39	67.65
184	-4	4	67	67.5
184	-3	3	72.7	69.7
184	0	0	71.43	68.99
184	1	-1	99	71.6
184	2	1	99	71.6
184	5	2	76.4	71.6
184	6	-2	69.21	68.69
185	-4	4	60.1	59
185	-3	3	65.1	64
185	0	0	64.88	62.72
185	1	-1	77.2	60.4
185	2	1	77.2	60.4
185	5	2	77.2	60.4
185	6	-2	63.51	62.75
190	-4	4	62.7	51.3
190	-3	3	66.2	51.3
190	0	0	65.64	51.44
190	1	-1	64.6	60.4
190	2	1	64.6	60.4
190	5	2	76.4	68.5
190	6	-2	65.64	51.3
191	-4	4	64.5	65
191	-3	3	65.2	57.2
191	0	0	65.09	58.17
191	1	-1	64.6	68.5
191	2	1	64.6	68.5
191	5	2	76.4	68.5
191	6	-2	65.09	58.17
192	-4	4	65.6	60.5
192	-3	3	62.2	56.8
192	0	0	63.53	58.02
192	1	-1	64.6	60.4
192	2	1	64.6	60.4
192	5	2	76.4	68.5
192	6	-2	63.51	58.01
193	-4	4	71.6	71.2
193	-3	3	63.9	71.5
193	0	0	72.6	72.2
193	1	-1	81.8	79.3
193	2	1	81.8	79.3
193	5	2	76.4	68.5
193	6	-2	67.69	71.35
194	-4	4	76.5	65.5
194	-3	3	76.5	65.4
194	0	0	76.7	68.5
194	1	-1	76.8	68.5
194	2	1	76.8	68.5
194	5	2	76.4	68.5
194	6	-2	76.5	65.45
195	-4	4	79.7	71
195	-3	3	73.9	70.9
195	0	0	75.49	70.8
195	1	-1	71.1	67.9
195	2	1	71.1	67.9
195	5	2	76.4	67.9
195	6	-2	75.76	70.94
200	-4	4	55.3	36.8
200	-3	3	55.3	36.8
200	0	0	46.3	36.8
200	1	-1	46.3	36.8
200	2	1	46.3	36.8
200	5	2	46.3	36.8
200	6	-2	55.3	36.8
222	-4	4	55.3	36.8
222	-3	3	55.3	36.8
222	0	0	55.24	36.8
222	1	-1	46.3	36.8
222	2	1	46.3	36.8
222	5	2	46.3	36.8
222	6	-2	55.3	36.8
250	-4	4	69.3	66.7
250	-3	3	69.3	66.7
250	0	0	68.61	66.2
250	1	-1	63.95	59.85
250	2	1	64.1	63.9
250	5	2	52.3	46.6
250	6	-2	69.3	66.7
251	-4	4	64.4	57.1
251	-3	3	58.7	66.7
251	0	0	50.06	65.3
251	1	-1	45.3	63.9
251	2	1	45.3	63.9
251	5	2	52.3	46.6
251	6	-2	58.7	66.7
252	-4	4	58	57.1
252	-3	3	58	61.9
252	0	0	58	61.9
252	1	-1	59.8	51.4
252	2	1	56.05	49
252	5	2	52.3	46.6
252	6	-2	58	61.9
253	-4	4	76.5	64.6
253	-3	3	76.5	64.6
253	0	0	76.32	64.47
253	1	-1	65.2	46.6
253	2	1	65.2	49
253	5	2	52.3	46.6
253	6	-2	76.5	64.6
254	-4	4	64.4	57.1
254	-3	3	66.5	53.8
254	0	0	66.5	53.49
254	1	-1	59.8	46.6
254	2	1	56.05	49
254	5	2	52.3	46.6
254	6	-2	66.5	53.8
260	-4	4	59.1	61.1
260	-3	3	68.9	62.3
260	0	0	59.1	61.1
260	1	-1	59.8	51.4
260	2	1	56.05	49
260	5	2	52.3	46.6
260	6	-2	59.1	61.1
262	-4	4	51.9	48.6
262	-3	3	51.9	48.6
262	0	0	52.42	50.2
262	1	-1	55	55.51
262	2	1	55	59.3
262	5	2	52.3	46.6
262	6	-2	51.9	48.6
265	-4	4	46	57.1
265	-3	3	51.1	61.9
265	0	0	50.83	61.9
265	1	-1	55	51.4
265	2	1	55	49
265	5	2	52.3	46.6
265	6	-2	50.58	61.9
270	-4	4	67.4	59.7
270	-3	3	68.9	62.3
270	0	0	67.4	59.7
270	1	-1	59.8	51.4
270	2	1	56.05	49
270	5	2	52.3	46.6
270	6	-2	67.4	59.7
275	-4	4	64.4	57.1
275	-3	3	67.9	71.6
275	0	0	67.9	71.6
275	1	-1	59.8	51.4
275	2	1	56.05	49
275	5	2	52.3	46.6
275	6	-2	67.9	71.6
280	-4	4	64.3	47.6
280	-3	3	68.9	62.3
280	0	0	64.3	47.6
280	1	-1	59.8	51.4
280	2	1	56.05	49
280	5	2	52.3	46.6
280	6	-2	64.3	47.6
285	-4	4	66.2	69.9
285	-3	3	76.4	67.2
285	0	0	75.01	67.67
285	1	-1	65.2	62.17
285	2	1	65.2	63.9
285	5	2	52.3	46.6
285	6	-2	75.3	68.11
290	-4	4	64	55.8
290	-3	3	69.2	61.9
290	0	0	64.94	56.25
290	1	-1	59.78	50.4
290	2	1	59.8	51.1
290	5	2	52.3	46.6
290	6	-2	69	61.35
301	-4	4	72	62.6
301	-3	3	76.2	71.4
301	0	0	74.79	69.26
301	1	-1	74.75	85.6
301	2	1	75.2	85.6
301	5	2	52.3	85.6
301	6	-2	74.8	68.6
302	-4	4	54.9	68.8
302	-3	3	54.9	73.5
302	0	0	54.9	70
302	1	-1	67.6	85.6
302	2	1	67.6	76.75
302	5	2	67.6	85.6
302	6	-2	54.9	69.89
303	-4	4	54.9	60.6
303	-3	3	54.9	65.3
303	0	0	54.9	66.34
303	1	-1	54.9	85.6
303	2	1	54.9	85.6
303	5	2	67.6	85.6
303	6	-2	54.9	65.2
304	-4	4	55.6	62.6
304	-3	3	50.7	71.4
304	0	0	50.7	70.14
304	1	-1	67.6	67.9
304	2	1	67.6	66.15
304	5	2	67.6	64.4
304	6	-2	50.7	70.14
305	-4	4	69.1	57.1
305	-3	3	69.1	64.9
305	0	0	69.1	64.7
305	1	-1	67.6	67.9
305	2	1	67.6	66.15
305	5	2	67.6	64.4
305	6	-2	69.1	64.7
310	-4	4	52.4	62.6
310	-3	3	63.4	62.6
310	0	0	62.69	62.59
310	1	-1	71.5	62.58
310	2	1	74.7	65.4
310	5	2	52.3	61.7
310	6	-2	62.36	62.6
312	-4	4	50.5	56.6
312	-3	3	56.2	54.9
312	0	0	56.11	55.06
312	1	-1	63.08	56.82
312	2	1	67.4	56.2
312	5	2	52.3	57.1
312	6	-2	55.76	54.96
313	-4	4	58.9	59.8
313	-3	3	58.9	59.8
313	0	0	59.59	59.72
313	1	-1	67.41	58.25
313	2	1	67.4	56.2
313	5	2	67.6	64.4
313	6	-2	58.9	59.8
314	-4	4	56.6	51.8
314	-3	3	59.1	44.6
314	0	0	58.72	47.24
314	1	-1	61.2	54.9
314	2	1	61.2	54.9
314	5	2	67.6	54.9
314	6	-2	58.7	46.11
315	-4	4	53	63
315	-3	3	53	44.6
315	0	0	53	44.6
315	1	-1	67.6	67.9
315	2	1	67.6	66.15
315	5	2	67.6	64.4
315	6	-2	53	44.6
320	-4	4	58.7	57.1
320	-3	3	55.2	57.2
320	0	0	56.57	57.18
320	1	-1	67.6	56.74
320	2	1	67.6	56.2
320	5	2	67.6	57.1
320	6	-2	56.57	57.18
321	-4	4	85.3	71.8
321	-3	3	85.3	71.8
321	0	0	84.92	71.96
321	1	-1	74.7	85.6
321	2	1	74.7	85.6
321	5	2	67.6	64.4
321	6	-2	85.3	71.8
323	-4	4	53.8	39.9
323	-3	3	57.8	62.6
323	0	0	53.8	39.9
323	1	-1	67.6	67.9
323	2	1	67.6	66.15
323	5	2	67.6	64.4
323	6	-2	53.8	39.9
324	-4	4	44.8	67.4
324	-3	3	48.7	50.3
324	0	0	48.36	54.48
324	1	-1	55.26	54.9
324	2	1	61.2	54.9
324	5	2	52.3	64.4
324	6	-2	48.23	54.48
325	-4	4	59.1	55.9
325	-3	3	65.7	60
325	0	0	64.58	59.5
325	1	-1	67.6	59.65
325	2	1	67.6	54.9
325	5	2	67.6	64.4
325	6	-2	64.57	59.5
333	-4	4	55.6	68.8
333	-3	3	62	61
333	0	0	61.47	61.85
333	1	-1	67.6	54.9
333	2	1	67.6	54.9
333	5	2	67.6	54.9
333	6	-2	61.47	61.88
340	-4	4	55.4	49.3
340	-3	3	57.8	62.6
340	0	0	55.4	49.3
340	1	-1	67.6	67.9
340	2	1	67.6	66.15
340	5	2	67.6	64.4
340	6	-2	55.4	49.3
341	-4	4	70.6	63.3
341	-3	3	70.6	66.9
341	0	0	70.6	67.11
341	1	-1	67.6	76.11
341	2	1	67.6	87.7
341	5	2	67.6	72.7
341	6	-2	70.6	66.7
342	-4	4	78.7	70.7
342	-3	3	58.5	70.1
342	0	0	61.93	70.24
342	1	-1	61.2	72.32
342	2	1	61.2	71.2
342	5	2	67.6	72.7
342	6	-2	61.96	70.19
343	-4	4	46.2	49.9
343	-3	3	46.3	49.9
343	0	0	46.33	49.91
343	1	-1	61.2	54.9
343	2	1	61.2	54.9
343	5	2	61.2	64.4
343	6	-2	46.29	49.9
345	-4	4	61.7	65
345	-3	3	61.7	66.6
345	0	0	61.87	66.42
345	1	-1	74.7	87.3
345	2	1	74.7	87.3
345	5	2	67.6	87.3
345	6	-2	61.7	66.19
350	-4	4	50.3	51.5
350	-3	3	49.2	50.2
350	0	0	49.37	50.42
350	1	-1	61.2	54.9
350	2	1	61.2	54.9
350	5	2	61.2	54.9
350	6	-2	49.33	50.39
351	-4	4	55.6	63
351	-3	3	40.4	57.6
351	0	0	40.4	57.6
351	1	-1	67.6	67.9
351	2	1	67.6	66.15
351	5	2	67.6	64.4
351	6	-2	40.4	57.6
352	-4	4	57.7	59.2
352	-3	3	57.7	59.2
352	0	0	57.7	59.2
352	1	-1	67.6	67.9
352	2	1	67.6	66.15
352	5	2	67.6	64.4
352	6	-2	57.7	59.2
353	-4	4	51.2	59.9
353	-3	3	51.2	57.6
353	0	0	51.2	57.73
353	1	-1	67.6	66.53
353	2	1	67.6	65.8
353	5	2	67.6	66.9
353	6	-2	51.2	57.71
354	-4	4	65.7	75.8
354	-3	3	65.7	75.8
354	0	0	65.67	75.9
354	1	-1	61.2	85.6
354	2	1	61.2	76.75
354	5	2	67.6	85.6
354	6	-2	65.7	75.8
360	-4	4	44.4	61.4
360	-3	3	57.6	61.7
360	0	0	53.53	61.73
360	1	-1	67.6	73.8
360	2	1	67.6	73.8
360	5	2	67.6	73.8
360	6	-2	53.53	61.62
370	-4	4	55.8	61.9
370	-3	3	59.4	60.4
370	0	0	58.65	60.86
370	1	-1	61.2	66.58
370	2	1	61.2	65.8
370	5	2	61.2	66.9
370	6	-2	58.62	60.68
380	-4	4	50.8	55.1
380	-3	3	77.3	72.2
380	0	0	76.15	72.15
380	1	-1	63.9	71.8
380	2	1	63.9	74
380	5	2	66.2	54.2
380	6	-2	77.3	72.2
381	-4	4	50.8	55.1
381	-3	3	63.8	57.5
381	0	0	56.6	57.5
381	1	-1	52.8	57.3
381	2	1	52.8	55.75
381	5	2	66.2	54.2
381	6	-2	63.8	57.5
382	-4	4	50.8	57.5
382	-3	3	47.6	57.5
382	0	0	49.08	57.31
382	1	-1	52.8	53.1
382	2	1	52.8	53
382	5	2	66.2	54.2
382	6	-2	47.6	57.5
383	-4	4	47.6	55.1
383	-3	3	47.6	58.2
383	0	0	46.44	57.4
383	1	-1	44.99	45.7
383	2	1	44.7	45.7
383	5	2	66.2	54.2
383	6	-2	47.6	58.2
385	-4	4	73.5	65.8
385	-3	3	73.5	65.8
385	0	0	73.74	66.33
385	1	-1	75	70.1
385	2	1	75	70.1
385	5	2	66.2	70.1
385	6	-2	73.5	65.8
390	-4	4	52	55.1
390	-3	3	52	55.4
390	0	0	52.05	53.77
390	1	-1	53.3	45.7
390	2	1	53.3	45.7
390	5	2	66.2	45.7
390	6	-2	52	55.4
393	-4	4	71.9	72.6
393	-3	3	71.9	72.6
393	0	0	69.57	72.97
393	1	-1	66.79	74
393	2	1	66.8	74
393	5	2	66.2	74
393	6	-2	71.9	72.6
394	-4	4	50.8	55.1
394	-3	3	63.8	56.3
394	0	0	63.77	56.12
394	1	-1	64.03	54.36
394	2	1	63.9	54.6
394	5	2	66.2	54.2
394	6	-2	63.72	56.29
395	-4	4	50.8	55.1
395	-3	3	71.3	56.3
395	0	0	71.33	55.85
395	1	-1	71.6	54.4
395	2	1	71.6	54.6
395	5	2	66.2	54.2
395	6	-2	71.3	56.3
401	-4	4	22.9	33.8
401	-3	3	42.7	37.4
401	0	0	43.52	41.3
401	1	-1	52.96	61.7
401	2	1	53.1	61.7
401	5	2	38.7	61.7
401	6	-2	41.98	37.04
402	-4	4	39.5	46.7
402	-3	3	39.5	48.2
402	0	0	38.03	48.2
402	1	-1	33.62	62
402	2	1	33.4	62
402	5	2	41.2	62
402	6	-2	39.5	48.2
403	-4	4	43.1	48.2
403	-3	3	52.4	47.5
403	0	0	51.79	48.2
