OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
2624	262	4	88.7	82.7	74.1	74
2629	262	9	88.7	82.7	86.9	82.5
2692	269	2	85.8	71.4	85	95.4
2694	269	4	85.8	71.4	74.1	74
2699	269	9	85.8	82.7	85	95.4
2912	291	2	54.5	51.5	54.1	50.5
2914	291	4	54.5	51.5	68.7	61.9
2919	291	9	54.5	51.5	54.3	50.5
2922	292	2	63.4	59.2	62.9	58.9
2924	292	4	63.4	59.2	48.9	57
2929	292	9	63.4	59.2	62.8	58.8
2932	293	2	65.3	62.8	64.5	61.8
2934	293	4	65.3	62.8	67.2	57
2939	293	9	65.3	62.8	64.5	61.8
2942	294	2	60.1	55.2	59.6	54.3
2944	294	4	60.1	55.2	67.2	61.7
2949	294	9	60.1	55.2	59.6	54.3
2952	295	2	65.1	63.9	65	63.1
2954	295	4	65.1	63.9	62	58.9
2959	295	9	65.1	63.9	64.8	63
2962	296	2	55.8	50.4	55.4	49.2
2964	296	4	55.8	50.4	53.2	61.9
2969	296	9	55.8	50.4	55.4	49.2
2972	297	2	49.3	58.3	48.8	56.8
2974	297	4	49.3	58.3	60.4	77.2
2979	297	9	49.3	58.3	49	57.5
2992	299	2	53.4	54.2	52.7	53.1
2994	299	4	53.4	54.2	68.7	61.9
2999	299	9	53.4	54.2	52.7	53.3
3112	311	2	72.2	71.1	71.6	70.6
3114	311	4	72.2	71.1	72.1	82.3
3119	311	9	72.2	71.1	71.6	71.2
3122	312	2	67.4	71.4	67.7	70.9
3124	312	4	67.4	71.4	63.7	71.6
3129	312	9	67.4	71.4	67	71
3132	313	2	59.1	58.9	58.8	58.9
3134	313	4	59.1	58.9	55.9	71.5
3139	313	9	59.1	58.9	58.7	59.3
3192	319	2	59.8	59.4	60.1	59.7
3194	319	4	59.8	59.4	60.4	60.6
3199	319	9	59.8	59.4	60.1	59.7
3212	321	2	57.7	58.6	57.8	58.5
3214	321	4	57.7	58.6	51.6	62.9
3219	321	9	57.7	58.6	57.7	58.6
3312	331	2	58.9	50.1	67	57.4
3314	331	4	58.9	50.1	54.3	50.4
3319	331	9	58.9	50.1	61.3	52.3
3322	332	2	60	56.3	60.1	56.9
3324	332	4	60	56.3	64.9	51
3329	332	9	60	56.3	60.2	56.9
3332	333	2	49.9	41.5	51.3	41.7
3334	333	4	49.9	41.5	49.2	34.7
3339	333	9	49.9	41.5	51.3	41.7
3392	339	2	41.2	40.8	42.6	40.4
3394	339	4	41.2	40.8	46.3	41.3
3399	339	9	41.2	40.8	42.8	40.4
3992	399	2	58.8	58.5	60.1	60
3994	399	4	58.8	58.5	56.4	51
3999	399	9	49.9	58.5	59.4	60
4002	400	2	48.4	39.6	50.8	46.6
4004	400	4	48.4	39.6	47.2	38.3
4009	400	9	48.4	39.6	47.8	38.3
4012	401	2	50.6	39.6	54.1	38.3
4014	401	4	50.6	39.6	50.5	38.3
4019	401	9	50.6	39.6	51.1	38.3
4022	402	2	56.1	39.6	55.1	46.6
4024	402	4	56.1	39.6	51.3	38.3
4029	402	9	56.1	39.6	55.1	38.3
4032	403	2	54.2	39.6	54.1	38.3
4034	403	4	54.2	39.6	51.3	38.3
4039	403	9	54.2	39.6	54.1	38.3
4042	404	2	53.7	39.6	53.9	38.3
4044	404	4	53.7	39.6	51.3	38.3
4049	404	9	53.7	39.6	53.9	38.3
4052	405	2	48.8	39.6	40.2	38.3
4054	405	4	48.8	39.6	49.2	38.3
4059	405	9	48.8	43.5	49.2	38.3
4062	406	2	50.3	39.6	40.2	46.6
4064	406	4	50.3	39.6	50	38.3
4069	406	9	47.3	43.5	50	38.3
4092	409	2	47.3	43.5	52.9	46.6
4094	409	4	47.3	43.5	51.3	38.3
4099	409	9	47.3	43.5	49.4	38.3
4112	411	2	36.1	39.6	35.8	38.3
4114	411	4	36.1	39.6	43.3	38.3
4119	411	9	36.1	39.6	35.8	38.3
4122	412	2	34.7	39.6	34.3	38.3
4124	412	4	34.7	39.6	44.3	38.3
4129	412	9	34.7	39.6	35.2	38.3
4132	413	2	36.6	39.6	35.1	38.3
4134	413	4	36.6	39.6	30.2	38.3
4139	413	9	36.6	39.6	35	38.3
4142	414	2	43.8	39.6	42	38.3
4144	414	4	43.8	39.6	42	38.3
4149	414	9	43.8	39.6	42	38.3
4192	419	2	39.5	39.6	38.8	38.3
4194	419	4	39.5	39.6	43.3	38.3
4199	419	9	39.5	39.6	38.8	38.3
4212	421	2	49.6	39.6	49.2	38.3
4214	421	4	49.6	39.6	49.2	38.3
4219	421	9	49.6	39.6	49.2	38.3
4312	431	2	38.1	39.6	39.2	38.3
4314	431	4	38.1	39.6	36.7	38.3
4319	431	9	38.1	39.6	37	38.3
4322	432	2	43.9	39.6	42.6	38.3
4324	432	4	43.9	39.6	36.7	42.7
4329	432	9	43.9	39.6	42.6	38.3
4392	439	2	38.8	39.6	42.6	38.3
4394	439	4	38.8	39.6	43.3	38.3
4399	439	9	43.9	39.6	37.6	38.3
4412	441	2	32	39.6	31	38.3
4414	441	4	32	39.6	36.2	38.3
4419	441	9	32	39.6	32	38.3
4492	449	2	37.5	39.6	38.2	38.3
4494	449	4	37.5	39.6	36.2	38.3
4499	449	9	37.5	39.6	38.2	38.3
5012	501	2	29.3	28.2	29.8	29.8
5014	501	4	29.3	28.2	31.8	29.8
5019	501	9	29.3	28.2	29.9	29.8
5092	509	2	27.5	28.2	27.3	28.6
5094	509	4	27.5	28.2	31.9	52.1
5099	509	9	27.5	18.4	27.5	28.6
5112	511	2	38.1	23	36.7	27.7
5114	511	4	38.1	23	48.3	27.7
5119	511	9	38.1	23	37.9	27.7
5212	521	2	33.2	23	33.1	18.4
5214	521	4	33.2	23	33.1	18.4
5219	521	9	33.2	18.4	33.1	18.4
5312	531	2	30	23	39.5	27.7
5314	531	4	30	23	39.5	27.7
5319	531	9	38.1	23	39.5	27.7
5992	599	2	33.2	18.4	35	18.4
5994	599	4	33.2	18.4	31.9	52.1
5999	599	9	33.2	18.4	35	27.7
6012	601	2	55.2	47.2	55.3	30.9
6014	601	4	55.2	47.2	51.9	49.6
6019	601	9	55.2	29.7	55.1	47
6022	602	2	66.3	47.2	65.4	47
6024	602	4	66.3	47.2	65.4	49.6
6029	602	9	66.3	47.2	65.4	47
6032	603	2	51.8	47.2	51.2	30.9
6034	603	4	51.8	47.2	51.9	49.6
6039	603	9	51.8	29.7	51.2	47
6092	609	2	54.9	47.2	54.7	47
6094	609	4	54.9	47.2	51.9	49.6
6099	609	9	54.9	47.2	54.6	47
6112	611	2	36.1	29.7	36.5	30.9
6114	611	4	36.1	29.7	35.5	30.9
6119	611	9	36.1	29.7	36.4	30.9
6122	612	2	33.1	29.7	33.7	30.9
6124	612	4	33.1	29.7	35.5	30.9
6129	612	9	33.1	29.7	33.7	30.9
6192	619	2	51.2	29.7	50.7	30.9
6194	619	4	51.2	29.7	50.7	30.9
6199	619	9	51.2	29.7	50.7	30.9
6212	621	2	74	76.6	73.5	75.3
6214	621	4	74	76.6	73.5	75.3
6219	621	9	74	76.6	73.5	75.3
6292	629	2	74	76.6	73.5	75.3
6294	629	4	74	76.6	73.5	75.3
6299	629	9	74	76.6	73.5	75.3
6312	631	2	47.8	45.7	47.7	44.6
6314	631	4	47.8	45.7	41.5	44.6
6319	631	9	47.8	45.7	47.7	44.6
6402	640	2	40.7	38.2	40.5	38
6404	640	4	40.7	38.2	41.5	41
6409	640	9	40.7	38.2	40.7	38.4
6412	641	2	33.7	38.7	33.1	38.6
6414	641	4	33.7	38.7	39.7	43.3
6419	641	9	33.7	38.7	34.2	39.3
6422	642	2	42.6	33.9	42.3	34.1
6424	642	4	42.6	33.9	41.5	34.1
6429	642	9	42.6	33.9	42.3	34.1
6432	643	2	39	52	37	51.1
6434	643	4	39	52	42.7	43.3
6439	643	9	39	52	38.5	51.1
6492	649	2	39.5	46.4	39.5	46.2
6494	649	4	39.5	46.4	42.7	46.2
6499	649	9	39.5	46.4	39.5	46.2
6512	651	2	64.1	67.3	63.4	66.6
6514	651	4	64.1	67.3	63.4	66.6
6519	651	9	64.1	67.3	63.4	66.6
6522	652	2	41.9	44.5	41.9	44.2
6524	652	4	41.9	44.5	42.7	43.3
6529	652	9	41.9	44.5	41.9	44.2
6532	653	2	40.6	45.3	40.2	45.6
6534	653	4	40.6	45.3	42.7	43.3
6539	653	9	40.6	45.3	40.2	45.6
6592	659	2	42.9	54.8	40.2	45.6
6594	659	4	42.9	54.8	42.9	54.4
6599	659	9	40.6	45.3	42.9	54.4
6612	661	2	50	57.9	49.8	44.3
6614	661	4	50	57.9	53.7	53.7
6619	661	9	50	50.2	49.8	53.7
6622	662	2	64.5	66.6	63.7	65.4
6624	662	4	64.5	66.6	63.7	65.4
6629	662	9	64.5	66.6	63.7	65.4
6632	663	2	47.9	48.9	47.8	44.7
6634	663	4	47.9	48.9	53.7	44.7
6639	663	9	47.9	48.9	47.8	44.7
6642	664	2	47.6	50.2	47.4	44.3
6644	664	4	47.6	50.2	53.7	43.3
6649	664	9	47.6	50.2	47.5	44.3
6692	669	2	52.2	57.9	49.8	44.3
6694	669	4	52.2	57.9	53.7	53.7
6699	669	9	52.2	50.2	49.8	53.7
6712	671	2	53.8	50.8	53.3	50.4
6714	671	4	53.8	50.8	46.8	57.8
6719	671	9	53.8	50.8	53.2	50.5
