hisco	hiscam	orig
33100	72.94	1
33110	72.94	1
33120	76.70	1
33130	76.70	1
33135	76.70	1
33140	76.70	1
33150	76.70	1
33160	76.70	1
33170	76.70	1
33190	76.70	1
33900	69.72	0
33920	69.72	0
33930	69.72	0
33940	69.13	1
33990	71.18	1
34120	56.19	0
34230	56.19	0
36000	59.82	1
36020	59.36	1
36040	54.79	1
36090	55.29	1
37000	68.72	1
37010	56.19	0
37020	62.45	1
37030	55.29	1
37040	53.44	1
37090	56.93	1
38000	54.32	1
38020	56.19	0
38030	55.29	1
38040	62.03	1
38090	56.19	0
39100	63.62	1
39110	63.62	1
39120	63.62	1
39130	63.62	1
39140	63.62	1
39150	63.62	1
39190	63.62	1
39230	64.97	1
39310	64.97	1
39320	66.73	1
39340	77.23	1
39350	69.72	0
39390	69.72	0
39410	69.72	0
39440	69.72	0
39490	69.72	0
39520	69.72	0
39530	61.50	1
39900	69.72	0
39940	69.72	0
39960	58.02	1
39990	60.46	1
41000	65.09	0
41020	77.37	1
41025	65.73	1
41030	63.22	1
41035	65.73	1
41040	63.13	1
41525	53.56	1
42200	71.24	1
42220	71.24	1
42230	71.24	1
43100	69.97	0
43120	69.97	0
43200	67.28	1
43220	67.28	1
43230	71.24	1
43290	69.97	0
44100	73.59	1
44120	71.65	1
44130	86.83	1
44140	69.20	1
44190	75.94	1
44200	69.97	0
44220	69.97	0
44230	70.01	1
44300	69.97	0
44320	61.80	1
44330	69.97	0
45100	50.75	0
45120	52.94	1
45125	62.94	1
45130	52.94	1
45140	50.75	0
45150	50.75	0
45190	51.19	1
45220	48.67	1
45225	50.75	0
45230	50.75	0
45240	50.75	0
45250	50.75	0
45290	50.81	1
49020	50.75	0
49030	50.75	0
49090	46.04	1
51000	58.01	0
51020	56.47	1
51030	56.64	1
51040	69.18	1
51050	56.64	1
51090	63.28	1
52000	61.05	0
52290	61.05	0
53100	59.37	1
53120	59.37	1
53130	59.37	1
53140	59.37	0
53150	59.37	1
53190	59.37	0
53200	53.29	1
53210	53.29	1
53220	53.29	1
53240	53.29	1
53250	53.29	1
53290	53.29	1
53330	40.24	1
54000	40.24	1
54010	40.24	1
54020	40.24	1
54030	40.24	1
54035	43.65	0
54040	43.65	0
54050	40.24	1
54055	43.65	0
54060	43.65	0
54090	52.33	1
55100	40.24	1
55120	64.15	1
55125	59.81	1
55130	66.25	1
55140	63.96	1
55190	40.24	1
55200	43.65	0
55220	43.65	0
55220	43.65	0
55230	43.65	0
55230	43.65	0
55240	47.91	1
55290	44.12	1
56000	52.80	1
56010	52.80	1
56030	43.65	0
56030	52.80	1
56040	52.80	1
56050	52.80	1
56060	52.80	1
56065	52.80	1
56070	52.80	1
56090	52.80	1
57000	53.73	1
57025	53.73	1
57030	53.73	0
57030	53.73	1
57070	53.73	1
57090	53.73	1
58100	53.32	1
58110	53.32	1
58200	58.92	0
58220	53.32	1
58225	57.07	1
58230	58.92	0
58240	58.92	0
58300	47.62	1
58320	99.00	1
58320	58.92	0
58330	57.33	1
58340	47.53	1
58490	58.92	0
58900	58.92	0
58920	58.92	0
58930	58.92	0
58930	61.49	1
58940	48.82	1
58990	53.32	1
59100	54.75	0
59200	54.75	0
59220	55.79	1
59230	54.75	0
59290	53.56	1
59900	54.75	0
59920	54.75	0
59940	48.81	1
59950	58.45	1
59990	53.56	1
71100	46.49	1
71105	46.49	1
71110	46.49	1
71120	46.97	0
71125	46.97	0
71130	46.49	1
71150	46.97	0
71160	46.49	1
71170	46.97	0
71190	46.97	0
71200	46.97	0
71220	52.47	1
71250	46.97	0
71290	46.97	0
71300	46.49	1
71380	46.49	1
71390	46.97	0
72000	51.02	1
72100	41.87	1
72120	48.02	0
72130	48.02	0
72160	48.02	0
72170	48.02	0
72190	49.24	1
72200	49.24	1
72220	48.02	0
72230	48.02	0
72250	49.24	1
72260	48.02	0
72290	48.02	0
72320	48.02	0
72330	48.02	0
72390	49.24	1
72400	48.02	0
72420	52.57	1
72490	48.02	0
72500	49.24	1
72520	48.02	0
72530	48.02	0
72540	49.24	1
72555	48.02	0
72560	48.02	0
72590	48.02	0
72600	48.02	0
72620	48.02	0
72630	48.02	0
72640	48.02	0
72700	48.02	0
72725	48.02	0
72730	48.02	0
72740	48.02	0
72790	48.02	0
72800	48.02	0
72820	49.24	1
72830	48.02	0
72890	47.37	1
72900	48.02	0
72930	48.02	0
72940	48.02	0
72980	48.02	0
72990	49.24	1
73100	45.10	0
