soc2000	stdempst	usempst	mcamsis	fcamsis
135	-4	3	76.5	74.8
135	-3	1	74.3	74.8
135	0	0	72.48	74.8
135	1	-1	76.1	74.8
135	2	-5	76.1	74.8
135	5	2	72.4	74.8
135	6	-2	72.4	74.8
136	-6	5	67.5	73.2
136	-5	4	65.5	63.5
136	-4	3	76.5	76.7
136	-3	1	74.3	76.7
136	0	0	67.56	69.65
136	1	-1	75.52	76.7
136	2	-5	75.52	76.7
136	5	2	67.7	69.6
136	6	-2	66.74	69.36
140	-6	5	65.6	67.3
140	-5	4	61.4	67.3
140	-4	3	71.6	76.7
140	-3	1	74	76.7
140	0	0	65.67	68.14
140	1	-1	72.6	76.7
140	2	-5	72.6	76.7
140	5	2	65.3	69.4
140	6	-2	65.28	67.3
141	-6	5	66.9	69.4
141	-5	4	64.5	68.5
141	-4	3	71.6	76.7
141	-3	1	74	76.7
141	0	0	66.82	69.43
141	1	-1	72.58	76.7
141	2	-5	72.58	76.7
141	5	2	66.9	69.3
141	6	-2	66.61	69.31
142	-6	5	70.7	71.3
142	-5	4	67.9	78.7
142	-4	3	71.6	73.8
142	-3	1	74	73.8
142	0	0	69.51	73.86
142	1	-1	72.2	73.8
142	2	-5	72.2	73.8
142	5	2	69.4	73.8
142	6	-2	69.42	73.86
143	-6	5	57.9	58.3
143	-5	4	54.6	58.3
143	-4	3	73.5	69.3
143	-3	1	72.7	69.3
143	0	0	57.96	58.39
143	1	-1	73.14	69.3
143	2	-5	73.14	69.3
143	5	2	57.6	58.3
143	6	-2	57.67	58.3
144	-6	5	55.3	68.8
144	-5	4	60	68.7
144	-4	3	73.5	82.8
144	-3	1	72.7	78
144	0	0	58.06	68.75
144	1	-1	72.94	74.36
144	2	-5	72.94	80.4
144	5	2	56.9	62.3
144	6	-2	56.84	68.75
145	-6	5	56.6	68.8
145	-5	4	56.6	68.7
145	-4	3	73.5	68.8
145	-3	1	72.7	68.8
145	0	0	56.89	68.79
145	1	-1	73.27	68.8
145	2	-5	73.27	68.8
145	5	2	56.6	68.8
145	6	-2	56.6	68.79
146	-6	5	62.2	66.8
146	-5	4	57.2	66.8
146	-4	3	73.5	66.8
146	-3	1	72.7	76.7
146	0	0	62.25	66.89
146	1	-1	73.23	76.7
146	2	-5	73.23	76.7
146	5	2	62.4	66.8
146	6	-2	61.93	66.8
150	-6	5	60.3	61.1
150	-5	4	61.2	63.2
150	-4	3	73.7	82.8
150	-3	1	74.2	78
150	0	0	66.16	69.48
150	1	-1	69.76	74.36
150	2	-5	73.95	80.4
150	5	2	61.4	62.3
150	6	-2	60.75	62.15
151	-6	5	64.9	69.7
151	-5	4	62.7	68.7
151	-4	3	64.1	82.8
151	-3	1	64.1	78
151	0	0	64.1	69.47
151	1	-1	64.1	74.36
151	2	-5	64.1	80.4
151	5	2	64.1	62.3
151	6	-2	64.1	69.47
152	-6	5	65.1	69.7
152	-5	4	68.8	63.2
152	-4	3	76.1	76.7
152	-3	1	78.5	78
152	0	0	66.71	70.4
152	1	-1	77.7	76.7
152	2	-5	77.7	76.7
152	5	2	65.1	62.3
152	6	-2	65.46	69.7
153	-6	5	64.6	69.7
153	-5	4	68.8	68.7
153	-4	3	76.1	76.7
153	-3	1	78.5	76.7
153	0	0	66.3	69.67
153	1	-1	77.09	76.7
153	2	-5	77.09	76.7
153	5	2	66.3	69.5
153	6	-2	65.49	69.48
154	-6	5	50.5	56.3
154	-5	4	50.9	55.4
154	-4	3	54	69.3
154	-3	1	60.8	69.3
154	0	0	51.21	57.32
154	1	-1	58.76	69.3
154	2	-5	58.76	69.3
154	5	2	51.2	57.6
154	6	-2	50.52	56.21
155	-6	5	44.4	43.9
155	-5	4	50.5	56.2
155	-4	3	71.1	69.3
155	-3	1	57.4	69.3
155	0	0	45.92	46.06
155	1	-1	60.77	69.3
155	2	-5	60.77	69.3
155	5	2	45.8	45.9
155	6	-2	45.67	45.85
156	-6	5	48.3	45.6
156	-5	4	45.3	44.5
156	-4	3	71.1	45.1
156	-3	1	67.5	69.3
156	0	0	50.38	46.55
156	1	-1	69.16	61.23
156	2	-5	69.16	64.46
156	5	2	50.7	45.1
156	6	-2	47.62	45.11
160	-6	5	62.2	58.6
160	-5	4	58.8	70
160	-4	3	75.4	63.4
160	-3	1	58.3	65.3
160	0	0	61.48	63.89
160	1	-1	64.71	65.3
160	2	-5	64.71	65.3
160	5	2	62.2	63.4
160	6	-2	60.59	63.66
161	-6	5	76	72.4
161	-5	4	77.1	76.8
161	-4	3	78.6	94.8
161	-3	1	84.9	94.8
161	0	0	77.04	75.15
161	1	-1	83.32	94.8
161	2	-5	83.32	94.8
161	5	2	76.8	74.7
161	6	-2	76.79	74.8
164	-6	5	57.3	58.6
164	-5	4	61.8	67.5
164	-4	3	75.4	67.5
164	-3	1	67.9	65.3
164	0	0	61.41	66.01
164	1	-1	70.19	65.3
164	2	-5	70.19	65.3
164	5	2	61	67.5
164	6	-2	60.47	66.04
165	-6	5	81.3	89.6
165	-5	4	89.7	92.4
165	-4	3	78.6	94.8
165	-3	1	84.9	94.8
165	0	0	85.43	91.19
165	1	-1	81.46	94.8
165	2	-5	81.46	94.8
165	5	2	85.5	91.1
165	6	-2	85.53	91.08
170	-6	5	85.5	75.2
170	-5	4	84.4	75.2
170	-4	3	78.6	75.2
170	-3	1	84.9	75.2
170	0	0	84.69	75.2
170	1	-1	83.18	75.2
170	2	-5	83.18	75.2
