us_occ	uso_m	uso_f
724	39.2194328308105	33.9408378601074
726	28.1297454833984	26.4499778747559
730	45.0279769897461	29.5377292633057
731	43.477653503418	37.8445510864258
732	44.2268180847168	46.5419540405273
733	35.4463768005371	29.5377292633057
734	38.3873519897461	40.482536315918
735	34.8403625488281	22.5940856933594
736	38.7163391113281	33.7392768859863
741	45.9225769042969	32.8066139221191
742	46.0958862304688	43.4420547485352
743	52.1471710205078	39.1283836364746
751	41.4173736572266	37.5122909545898
754	47.5691032409668	37.4427719116211
755	27.4006042480469	30.1525478363037
756	35.8322372436523	37.5122909545898
761	26.2047176361084	23.6747379302979
762	41.3219375610352	33.1635284423828
770	43.2216300964355	38.6571235656738
771	43.2701606750488	26.8726234436035
772	35.2376899719238	29.5594348907471
773	38.2712059020996	25.3668003082275
774	40.2835731506348	11.8846874237061
775	33.1549263000488	26.512996673584
780	30.3895816802979	32.116886138916
781	31.2055511474609	19.1661682128906
783	28.9027214050293	28.3462066650391
784	25.4492454528809	32.6637420654297
785	27.9111881256104	23.9425830841064
790	36.5274505615234	30.2181396484375
792	27.4830532073975	26.7060813903809
793	27.6905689239502	21.5284023284912
794	30.4320449829102	21.8958129882813
795	24.8087863922119	21.5284023284912
796	28.1155757904053	20.6611061096191
800	27.1497325897217	21.5039730072021
801	28.7102451324463	27.2345504760742
803	38.3154373168945	27.1072788238525
804	30.0412158966064	17.8500137329102
806	45.2993392944336	48.9185371398926
810	28.5623760223389	23.425666809082
813	40.6017799377441	26.0766849517822
814	31.9392604827881	24.3368129730225
815	33.7192611694336	28.8046627044678
816	33.4491691589355	32.2033615112305
820	27.6652965545654	23.8542289733887
821	35.9035797119141	24.9600315093994
822	27.3977870941162	23.8114833831787
823	38.0942192077637	31.3416843414307
824	44.298038482666	32.7179412841797
825	46.5219841003418	42.1610832214355
826	41.1203575134277	31.6307048797607
830	33.9012145996094	23.8687229156494
831	25.1141204833984	20.7973575592041
832	21.1211109161377	23.8757877349854
833	37.3639755249023	26.2676658630371
834	21.2284259796143	21.4518222808838
