ISCO	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
1222	0	0	60	50.43	67	60
1222	2	4	54.79	54.34	67	60
1222	6	2	60.55	50.31	67	60
1223	0	0	60	50.43	67	60
1223	2	4	54.79	54.34	67	60
1223	6	2	60.55	50.31	67	60
1224	0	0	60	50.43	59	60
1224	2	4	54.79	54.34	59	60
1224	6	2	60.55	50.31	59	60
1225	0	0	53.75	54.27	59	60
1225	2	4	51.9	54.8	59	60
1225	6	2	54.5	54.2	59	60
1226	0	0	60	50.43	59	60
1226	2	4	54.79	54.34	59	60
1226	6	2	60.55	50.31	59	60
1227	0	0	60	50.43	87	60
1227	2	4	54.79	54.34	87	60
1227	6	2	60.55	50.31	87	60
1228	0	0	60.84	49.2	59	60
1228	2	4	59.86	52.91	59	60
1228	6	2	60.85	49.16	59	60
1229	0	0	80.53	85.1	67	60
1229	2	4	89.2	85.1	67	60
1229	6	2	79.6	85.1	67	60
1230	0	0	76.07	77.15	61	60
1230	2	4	88.5	84.1	61	60
1230	6	2	75.7	77	61	60
1231	0	0	76.07	77.15	69	60
1231	2	4	88.5	84.1	69	60
