NYK83	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS
772	6	2	27.7	12.5
773	0	0	23.7	20.16
773	1	4	42.6	39.8
773	6	2	23.4	20
775	0	0	40.11	24.2
775	1	4	55.1	47.8
775	6	2	38.3	24.2
776	0	0	41.07	28.73
776	1	4	52.8	74.2
776	6	2	39.1	24.2
777	0	0	31.05	21
777	1	4	42.8	39.8
777	6	2	30.2	20.4
779	0	0	31.65	23.04
779	1	4	49.6	39.8
779	6	2	29.7	21.9
781	0	0	39.9	15.67
781	1	4	42.4	32.4
781	6	2	39.4	14.3
782	0	0	40.89	33.95
782	1	4	43.6	32.4
782	6	2	40.3	34.7
783	0	0	28.03	16.22
783	1	4	29.5	32.4
783	6	2	27.8	15.5
789	0	0	41.55	34.15
789	1	4	43.6	32.4
789	6	2	40.3	34.7
791	0	0	37.69	36.2
791	1	4	42.4	52.2
791	6	2	37.1	33.3
793	0	0	33.42	34.41
793	1	4	40.6	52.2
793	6	2	33.3	33.3
794	0	0	40.22	37.71
794	1	4	44.9	52.2
794	6	2	39.6	33.3
795	0	0	34.71	35.76
795	1	4	35.8	52.2
795	6	2	34.6	33.3
796	0	0	40.91	44.88
796	1	4	43.7	52.2
796	6	2	40.4	42.6
799	0	0	36.11	44.52
799	1	4	41.7	52.2
799	6	2	35.4	40.6
801	0	0	48.58	47.47
801	1	4	58.4	75.2
801	6	2	48.2	46.9
802	0	0	50.84	45.14
802	1	4	55.2	75.2
802	6	2	50.7	44.4
803	0	0	44.17	38.8
803	1	4	51.7	67.8
803	6	2	43.8	36.9
804	0	0	37.95	29.91
804	1	4	51.7	67.8
804	6	2	37.5	28.9
805	0	0	54.2	43.4
805	1	4	58.4	75.2
805	6	2	53.9	42.2
809	0	0	46.19	45.98
809	1	4	51.5	75.2
809	6	2	46	45.2
811	0	0	27.01	20.1
811	1	4	55.5	20.1
811	6	2	26.8	20.1
812	0	0	27.68	26.16
812	1	4	55.5	46.9
812	6	2	24	21.9
813	0	0	24.7	19.8
813	1	4	24.7	46.9
813	6	2	24.7	19.8
814	0	0	30.71	32.44
814	1	4	55.5	46.9
814	6	2	28.5	31.9
819	0	0	28.59	20.69
819	1	4	55.5	46.9
819	6	2	27.4	19.8
821	0	0	33.12	32.47
821	1	4	44	46
821	6	2	31.6	24.9
822	0	0	39.05	32.33
822	1	4	41.3	46
822	6	2	38.3	30.3
823	0	0	24.82	27.01
823	1	4	50.1	48
823	6	2	23.9	26.8
824	0	0	35.42	19.24
824	1	4	50.1	48
824	6	2	35.3	19
825	0	0	29.15	18.93
825	1	4	50.1	48
825	6	2	28.3	18.5
826	0	0	33.71	25.36
826	1	4	38.3	48
826	6	2	33.6	25.1
827	0	0	32.54	26.71
827	1	4	36.1	48
827	6	2	32.5	26.4
828	0	0	31.3	22.24
828	1	4	31.3	48
828	6	2	31.3	21.9
829	0	0	32.72	26.86
829	1	4	36.1	48
829	6	2	32.6	26.2
831	0	0	35.83	34.3
831	1	4	57.4	34.3
831	6	2	35.7	34.3
832	0	0	24.6	19.8
832	1	4	57.4	48.4
832	6	2	23.6	19.8
833	0	0	33.14	20.38
833	1	4	57.4	48.4
833	6	2	33	19.8
834	0	0	32.21	20.71
834	1	4	46.3	48.4
834	6	2	31.5	20.5
835	0	0	30.17	21.31
835	1	4	49.9	48.4
835	6	2	29.1	20.9
839	0	0	32.91	30.02
839	1	4	57.4	48.4
839	6	2	32.5	29.9
841	0	0	31.12	16.4
841	1	4	40.6	16.4
841	6	2	31.1	16.4
842	0	0	29.56	23.12
842	1	4	40.6	48.4
842	6	2	29.5	23
843	0	0	29.17	20.9
843	1	4	40.6	48.4
843	6	2	29.1	20.8
849	0	0	29.73	14.9
849	1	4	40.6	14.9
849	6	2	29.1	14.9
851	0	0	27.51	8.5
851	1	4	35	8.5
851	6	2	27.3	8.5
852	0	0	26.86	36.04
852	1	4	35	59.4
852	6	2	26.5	35.6
853	0	0	60.92	58.21
853	1	4	62.6	70.8
853	6	2	59.7	52.4
854	0	0	35.66	24.12
854	1	4	50.3	59.4
854	6	2	33.4	20.2
859	0	0	31.44	22.09
859	1	4	43.7	59.4
859	6	2	30.9	20.2
861	0	0	43.95	48.35
861	1	4	37.8	37.3
861	6	2	44	48.7
869	0	0	40.9	48.7
869	1	4	37.8	48.7
869	6	2	44	48.7
871	0	0	33.18	17.3
871	1	4	42.5	17.3
871	6	2	32.9	17.3
872	0	0	34.71	26.84
872	1	4	38.1	37.3
872	6	2	33.3	16.7
873	0	0	24.44	20.97
873	1	4	38.9	37.3
873	6	2	24.2	20.9
879	0	0	34.98	37.98
879	1	4	41.9	37.3
879	6	2	34.9	38
881	0	0	27.46	22.02
881	1	4	41.5	39.9
881	6	2	27.3	21.8
882	0	0	34.82	31.5
882	1	4	36.7	40.2
882	6	2	34.8	31.4
889	0	0	41.73	48.89
889	1	4	36.7	40.2
889	6	2	41.9	51.5
891	0	0	29.38	29.45
891	1	4	35.2	40.2
891	6	2	28.8	27.9
901	0	0	52.95	54.3
901	1	4	55.6	54.3
901	6	2	52.9	54.3
902	0	0	37.84	41.8
902	1	4	51.1	51.7
902	6	2	35.3	35.2
903	0	0	58.3	60.9
903	1	4	61.7	60.9
903	6	2	58.3	60.9
904	0	0	53.83	48.62
904	1	4	61.7	51.7
904	6	2	53.8	48.6
905	0	0	48.55	42.21
905	1	4	41	51.7
905	6	2	48.6	42.2
906	0	0	40.9	43.2
906	1	4	41	51.7
906	6	2	40.9	43.1
909	0	0	37.8	35.42
909	1	4	46.6	51.7
909	6	2	37.5	35.2
911	0	0	53.75	54.27
911	1	4	51.9	54.8
911	6	2	54.5	54.2
912	0	0	40.28	38.07
912	1	4	38.3	40.8
912	6	2	40.5	38
913	0	0	38.45	36.25
913	1	4	32.6	41.6
913	6	2	39.5	36.1
914	0	0	50.99	42.91
914	1	4	49.3	44.2
914	6	2	51.2	42.8
915	0	0	57.43	56.11
915	1	4	60.8	59.5
915	6	2	56.8	55.9
916	0	0	63.3	77.26
916	1	4	63.3	54.8
916	6	2	63.3	77.5
919	0	0	54.67	47.75
919	1	4	60.8	59.5
919	6	2	53.7	47.4
921	0	0	45.28	35.9
921	1	4	49.6	35.9
921	6	2	44.2	35.9
929	0	0	44.2	38.8
929	1	4	48.2	38.8
929	6	2	44.2	38.8
931	0	0	44.31	36.47
931	1	4	49.6	40
931	6	2	44.2	36.3
932	0	0	38.79	27.44
932	1	4	45.7	39
932	6	2	37.9	27.2
939	0	0	35.59	35.21
939	1	4	45.7	40
939	6	2	35.3	35
941	0	0	47.51	48.05
941	1	4	46.4	49.1
941	6	2	51.4	46.2
942	0	0	50.36	43.32
942	1	4	46.4	44.7
942	6	2	50.4	43.3
949	0	0	48.67	45.99
949	1	4	46.4	44.7
949	6	2	51.4	47.6
951	0	0	39.16	27.82
951	1	4	47	46.8
951	6	2	37.2	26.8
952	0	0	25.48	21.73
952	1	4	47	46.8
952	6	2	24.1	20.8
959	0	0	38.84	30.13
959	1	4	47	46.8
959	6	2	37.1	26.8
961	0	0	59.05	51.63
961	1	4	57.1	56.4
961	6	2	60.1	50.7
971	0	0	53.1	53.25
971	1	4	57.7	54.8
971	6	2	51.9	52.8
979	0	0	41.04	47.08
979	1	4	40.1	54.8
979	6	2	41.2	46.9
981	0	0	58.81	61.2
981	1	4	65.7	61.2
981	6	2	58.8	61.2
989	0	0	70.6	61.2
989	1	4	70.6	61.2
989	6	2	70.6	61.2
1000	0	0	57.11	58.54
1000	1	4	64.3	71.99
1000	6	2	56.94	58.15
1001	0	0	69.95	62.64
1001	1	4	79.17	78.36
1001	6	2	69.82	62.45
1002	0	0	71.44	70.66
1002	1	4	68.93	67.16
1002	6	2	71.54	70.81
1003	0	0	63.11	68.78
1003	1	4	68.06	77.05
1003	6	2	62.99	68.67
1004	0	0	68.53	62.6
1004	1	4	60.5	62.5
1004	6	2	68.62	62.6
1005	0	0	86.92	82.65
1005	1	4	85.16	86.93
1005	6	2	87.14	82.41
1006	0	0	75.54	75.85
1006	1	4	83.64	87.02
1006	6	2	74.75	75.07
1007	0	0	68.28	70.08
1007	1	4	74.7	76.77
1007	6	2	66.52	68.4
1009	0	0	75.52	71.72
1009	1	4	79.41	80.58
1009	6	2	75.36	71.49
1010	0	0	76.5	50.71
1010	1	4	80.67	62.36
1010	6	2	76.37	50.53
1011	0	0	66.46	65.97
1011	1	4	66.15	82.45
1011	6	2	66.53	64.87
1012	0	0	88.59	60.97
1012	1	4	90.17	72.19
1012	6	2	88.34	60.57
1013	0	0	76.06	65.28
1013	1	4	73.3	71.92
1013	6	2	76.07	65.23
1014	0	0	77.15	62.94
1014	1	4	79.8	67.85
1014	6	2	76.88	62.32
1015	0	0	62.33	42.41
1015	1	4	62.16	50.5
1015	6	2	62.33	42.31
1016	0	0	64.8	63.8
