PCS4	fr06pcs4_m	fr06pcs4_f
6211	31.7818794250488	37.1467132568359
6212	38.6263580322266	37.1467132568359
6213	34.832820892334	41.2197380065918
6214	37.1371536254883	37.1467132568359
6215	30.6572456359863	37.1467132568359
6216	30.0955677032471	37.1467132568359
6220	33.6920127868652	35.7674102783203
6221	41.7428817749023	40.6432876586914
6226	38.8302230834961	34.6405792236328
6230	35.3203239440918	27.3009185791016
6231	30.7055149078369	31.9730281829834
6232	38.3643684387207	31.3165378570557
6235	35.3970222473145	30.7645683288574
6236	34.1005325317383	30.7645683288574
6240	35.8733673095703	33.2620887756348
6243	33.4056816101074	32.091438293457
6244	38.5821151733398	36.6952018737793
6245	31.8552188873291	30.603401184082
6246	35.0808219909668	32.091438293457
6250	35.6825218200684	30.0048046112061
6251	36.318775177002	32.5218048095703
6252	29.3202457427979	28.0939311981201
6253	35.5167961120605	30.6783256530762
6254	39.7818183898926	38.3335456848145
6257	40.0987854003906	38.2676887512207
6260	30.628942489624	31.9181499481201
6261	35.6478881835938	31.9181499481201
6262	33.4779319763184	33.9649276733398
6270	30.3176822662354	29.7543506622314
6271	26.0757350921631	30.0060939788818
6272	35.1789627075195	31.6622581481934
6273	47.5242881774902	45.6591148376465
6274	40.7025146484375	41.1093559265137
6275	32.5604438781738	31.9447040557861
6280	37.6866912841797	32.4628868103027
6281	33.8872871398926	36.0850639343262
6282	32.4599075317383	34.9185829162598
6283	32.6298904418945	34.2940254211426
6284	44.2022895812988	44.7759284973145
6285	34.4307746887207	32.905143737793
6286	40.3180770874023	32.4848289489746
6310	35.7475852966309	37.4753837585449
6320	28.3265037536621	32.1817779541016
6321	36.4439888000488	39.3869171142578
6322	35.9562835693359	37.4386100769043
6323	31.9926414489746	39.3869171142578
6324	36.7601699829102	39.3869171142578
6325	32.1069183349609	39.1340827941895
6326	33.4270401000977	39.3869171142578
6327	36.0024108886719	43.2660484313965
6328	34.1608276367188	39.3869171142578
6329	38.6874160766602	39.3869171142578
6330	38.2793083190918	42.2156639099121
6331	36.6495971679688	42.8715782165527
6332	40.9817123413086	42.2156639099121
6333	39.9086761474609	44.1255340576172
6340	35.6050109863281	37.6749839782715
6341	36.5572128295898	32.4923858642578
6342	37.5425682067871	37.6749839782715
6343	35.1266136169434	33.3771629333496
6350	35.2737007141113	35.1552276611328
6360	31.3552780151367	28.5228939056396
6361	32.9862251281738	30.0181865692139
6362	35.8453636169434	33.4607162475586
6363	30.787353515625	31.1047668457031
6370	40.5023040771484	36.3366279602051
6371	53.7282676696777	62.4869499206543
6372	37.7336463928223	34.4126853942871
6373	44.1224250793457	47.0531387329102
6410	32.6990356445313	33.9086723327637
6411	39.2378273010254	35.5891265869141
6420	37.3457908630371	34.6144790649414
6421	40.1632919311523	34.6116981506348
6430	34.7471122741699	32.5376510620117
6440	30.629955291748	32.5376510620117
6510	31.9347038269043	30.550910949707
6511	40.0956878662109	30.550910949707
6520	31.5424957275391	27.7408809661865
6521	37.712028503418	36.6256446838379
6530	38.3548355102539	36.6256446838379
6540	49.1815643310547	43.0216255187988
6550	41.4907264709473	40.2154121398926
6560	41.7252197265625	39.7449493408203
6710	37.1608581542969	36.6403198242188
6711	29.7695026397705	27.5131053924561
6720	35.1299133300781	30.7685165405273
6730	32.5557823181152	28.4119071960449
6731	31.2378444671631	29.588846206665
6732	31.2167148590088	28.3288230895996
6740	32.2977752685547	29.3654861450195
6741	31.7693500518799	28.5051612854004
6742	30.2554531097412	28.4700336456299
6743	32.3527679443359	31.4043102264404
6744	28.9359226226807	25.7657108306885
6750	29.0373764038086	28.8056468963623
6751	36.3851928710938	34.3795585632324
6752	30.0403461456299	28.554838180542
6760	32.6798133850098	29.3931217193604
6761	35.0184478759766	31.0143375396729
6762	40.0828819274902	39.914176940918
6763	31.6762371063232	28.5890312194824
6764	34.2843894958496	32.3017883300781
6810	26.44606590271	32.3297157287598
6811	33.4571380615234	32.3017883300781
6820	32.9054679870605	31.165355682373
6830	33.9520072937012	26.545238494873
6840	30.5665988922119	26.7906398773193
6841	32.1786460876465	28.2454795837402
6850	33.7773094177246	29.4129295349121
6910	30.2597484588623	29.5948047637939
6911	34.0039253234863	29.5948047637939
6912	33.7786636352539	29.932445526123
6913	32.7323570251465	29.5358753204346
6914	34.953742980957	29.5948047637939
6915	34.737735748291	30.6622581481934
6920	30.295726776123	30.1799373626709
